locus_tag	old_locus_tag	protein_id	GOfun	GOpro	GOfun_evidence	GOpro_evidence	product
AEP_RS00235	AEP_00047	WP_087493536.1	GO:0004129	none	IEA	none	cytochrome-c oxidase, cbb3-type subunit III
AEP_RS00240	AEP_00048	WP_232460040.1	GO:0003674	GO:0008535	IEA	IEA	cytochrome c oxidase accessory protein CcoG
AEP_RS00245	AEP_00049	WP_087493538.1	none	none	none	none	FixH family protein
AEP_RS00250	AEP_00050	WP_087493539.1	none	none	none	none	hypothetical protein
AEP_RS00255	AEP_00051	WP_087497099.1	GO:0003677;GO:0003700	GO:0006355	IEA;IEA	IEA	fumarate/nitrate reduction transcriptional regulator Fnr
AEP_RS00260	AEP_00052	WP_087493540.1	GO:0051989	GO:0006779	IEA	IEA	oxygen-independent coproporphyrinogen III oxidase
AEP_RS00265	AEP_00053	WP_087493541.1	none	none	none	none	sulfite exporter TauE/SafE family protein
AEP_RS00270	AEP_00054	WP_232459885.1	none	none	none	none	diguanylate cyclase
AEP_RS00275	AEP_00055	WP_087493543.1	none	none	none	none	transporter substrate-binding domain-containing protein
AEP_RS00285	AEP_00057	WP_087493545.1	none	none	none	none	NAD(P)/FAD-dependent oxidoreductase
AEP_RS00290	AEP_00058	WP_087493546.1	none	none	none	none	alpha/beta hydrolase
AEP_RS00295	AEP_00059	WP_087493547.1	none	none	none	none	transporter substrate-binding domain-containing protein
AEP_RS00300	none	WP_087493548.1	none	none	none	none	hypothetical protein
AEP_RS00305	AEP_00060	WP_157672990.1	none	none	none	none	hypothetical protein
AEP_RS00310	AEP_00061	WP_087493550.1	none	none	none	none	hypothetical protein
AEP_RS00315	AEP_00062	WP_157672991.1	none	none	none	none	hypothetical protein
AEP_RS00320	AEP_00063	WP_087497100.1	none	none	none	none	AAA family ATPase
AEP_RS00325	AEP_00064	WP_157672992.1	none	GO:0009307	none	IEA	5-methylcytosine-specific restriction endonuclease system specificity protein McrC
AEP_RS20560	AEP_00065	WP_157672993.1	GO:0005524;GO:0016887	none	IEA;IEA	none	AAA family ATPase
AEP_RS00335	AEP_00066	WP_087493553.1	none	none	none	none	class I SAM-dependent methyltransferase
AEP_RS00340	none	none	GO:0004803	none	IEA	none	IS3 family transposase
AEP_RS00345	AEP_00069	WP_087493554.1	GO:0003677;GO:0005524;GO:0016787	none	IEA;IEA;IEA	none	DEAD/DEAH box helicase family protein
AEP_RS00350	AEP_00070	WP_087493555.1	none	none	none	none	hypothetical protein
AEP_RS00355	AEP_00071	WP_087493556.1	none	none	none	none	ATP-binding protein
AEP_RS20565	AEP_00072	WP_157672994.1	none	none	none	none	hypothetical protein
AEP_RS00360	AEP_00073	WP_087493557.1	none	none	none	none	hypothetical protein
AEP_RS00365	AEP_00074	WP_232459886.1	none	none	none	none	hypothetical protein
AEP_RS00370	AEP_00075	WP_087493558.1	none	none	none	none	Y-family DNA polymerase
AEP_RS00375	AEP_00076	WP_087493559.1	GO:0003677	none	IEA	none	translesion error-prone DNA polymerase V autoproteolytic subunit
AEP_RS00380	AEP_00077	WP_087493560.1	none	none	none	none	endonuclease/exonuclease/phosphatase family protein
AEP_RS00385	AEP_00078	WP_157672995.1	none	none	none	none	S1/P1 nuclease
AEP_RS00390	AEP_00079	WP_087493562.1	none	none	none	none	hypothetical protein
AEP_RS00395	AEP_00080	WP_087493563.1	none	none	none	none	hypothetical protein
AEP_RS00400	AEP_00081	WP_087493564.1	none	none	none	none	DUF2075 domain-containing protein
AEP_RS00405	AEP_00082	WP_087493565.1	none	none	none	none	nucleotide pyrophosphohydrolase
AEP_RS00415	AEP_00084	WP_087493567.1	none	none	none	none	AAA family ATPase
AEP_RS00420	none	WP_087493568.1	none	none	none	none	hypothetical protein
AEP_RS00430	AEP_00085	WP_087493570.1	none	none	none	none	hypothetical protein
AEP_RS00435	AEP_00086	WP_087493571.1	none	none	none	none	site-specific integrase
AEP_RS00440	AEP_00087	WP_087493572.1	GO:0017150;GO:0050660	GO:0002943	IEA;IEA	IEA	tRNA dihydrouridine(20/20a) synthase DusA
AEP_RS00445	AEP_00088	WP_087493573.1	none	none	none	none	DUF1269 domain-containing family protein
AEP_RS00450	AEP_00089	WP_087493574.1	none	none	none	none	BON domain-containing protein
AEP_RS00455	AEP_00090	WP_087493575.1	none	none	none	none	outer membrane beta-barrel protein
AEP_RS00460	AEP_00091	WP_087493576.1	none	none	none	none	thioesterase family protein
AEP_RS00465	AEP_00092	WP_087493577.1	none	none	none	none	hypothetical protein
AEP_RS00470	AEP_00093	WP_087493578.1	none	none	none	none	sterol desaturase family protein
AEP_RS00475	AEP_00094	WP_087493579.1	none	none	none	none	LysR family transcriptional regulator
AEP_RS00480	AEP_00095	WP_232459887.1	none	none	none	none	GntR family transcriptional regulator
AEP_RS00485	AEP_00096	WP_087493580.1	GO:0004494;GO:0046872	none	IEA;IEA	none	methylmalonyl-CoA mutase
AEP_RS00490	AEP_00097	WP_087493581.1	GO:0003924;GO:0005525	none	IEA;IEA	none	methylmalonyl Co-A mutase-associated GTPase MeaB
AEP_RS00495	AEP_00098	WP_087493582.1	none	none	none	none	acyl-CoA carboxylase subunit beta
AEP_RS00500	AEP_00099	WP_087493583.1	none	none	none	none	acetyl/propionyl/methylcrotonyl-CoA carboxylase subunit alpha
AEP_RS00505	AEP_00100	WP_087493584.1	none	none	none	none	VOC family protein
AEP_RS20925	AEP_00101	WP_232459888.1	none	GO:0007165	none	IEA	methyl-accepting chemotaxis protein
AEP_RS00515	AEP_00102	WP_087493585.1	GO:0009055;GO:0051536	GO:0022900	IEA;IEA	IEA	electron transport complex subunit RsxB
AEP_RS00520	AEP_00103	WP_087493586.1	none	none	none	none	polyhydroxyalkanoate depolymerase
AEP_RS00525	AEP_00104	WP_087493587.1	none	none	none	none	hypothetical protein
AEP_RS00530	AEP_00105	WP_087493588.1	none	none	none	none	aspartate/tyrosine/aromatic aminotransferase
AEP_RS00535	AEP_00106	WP_087493589.1	none	none	none	none	nitronate monooxygenase
AEP_RS00540	AEP_00107	WP_232459889.1	GO:0003677;GO:0005515;GO:0005524;GO:0016787;GO:0016887	GO:0006289	IEA;IEA;IEA;IEA;IEA	IEA	excinuclease ABC subunit UvrB
AEP_RS00545	AEP_00108	WP_087493590.1	GO:0003690;GO:0003700	GO:0006355	IEA;IEA	IEA	Fe-S cluster assembly transcriptional regulator IscR
AEP_RS00550	AEP_00109	WP_087493591.1	GO:0030170;GO:0031071	GO:0044571	IEA;IEA	IEA	IscS subfamily cysteine desulfurase
AEP_RS00555	AEP_00110	WP_087493592.1	GO:0005198	GO:0016226	IEA	IEA	Fe-S cluster assembly scaffold IscU
AEP_RS00560	AEP_00111	WP_087493593.1	GO:0005506	GO:0016226	IEA	IEA	iron-sulfur cluster assembly protein IscA
AEP_RS00565	AEP_00112	WP_087493594.1	GO:0005515	GO:0006457	IEA	IEA	Fe-S protein assembly co-chaperone HscB
AEP_RS00570	AEP_00113	WP_087493595.1	GO:0005515	GO:0006457	IEA	IEA	Fe-S protein assembly chaperone HscA
AEP_RS00575	AEP_00114	WP_087493596.1	none	GO:0016226	none	IEA	ISC system 2Fe-2S type ferredoxin
AEP_RS00580	AEP_00115	WP_087493597.1	GO:0003677;GO:0003887	GO:0006260	IEA;IEA	IEA	DNA polymerase III subunit epsilon
AEP_RS00590	AEP_00117	WP_087493598.1	none	none	none	none	PilZ domain-containing protein
AEP_RS00595	AEP_00118	WP_157672996.1	none	none	none	none	alpha/beta hydrolase
AEP_RS00600	AEP_00119	WP_157672997.1	none	none	none	none	hypothetical protein
AEP_RS00605	AEP_00120	WP_087493601.1	none	none	none	none	NAD(P)/FAD-dependent oxidoreductase
AEP_RS00610	AEP_00121	WP_087493602.1	none	none	none	none	DUF4394 domain-containing protein
AEP_RS00615	AEP_00122	WP_087493603.1	GO:0004152	GO:0006222	IEA	IEA	quinone-dependent dihydroorotate dehydrogenase
AEP_RS00620	AEP_00123	WP_087493604.1	GO:0004751	GO:0009052	IEA	IEA	ribose-5-phosphate isomerase RpiA
AEP_RS00625	AEP_00124	WP_087493605.1	none	none	none	none	riboflavin synthase
AEP_RS00630	AEP_00125	WP_087497106.1	GO:0008703;GO:0008835	none	IEA;IEA	none	bifunctional diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino)uracil reductase RibD
AEP_RS21195	none	WP_087493606.1	none	none	none	none	prepilin-type N-terminal cleavage/methylation domain-containing protein
AEP_RS00640	AEP_00126	WP_087493607.1	none	none	none	none	PilC/PilY family type IV pilus protein
AEP_RS00645	AEP_00127	WP_087493608.1	none	none	none	none	PilX N-terminal domain-containing pilus assembly protein
AEP_RS00650	AEP_00128	WP_157672998.1	none	none	none	none	prepilin-type N-terminal cleavage/methylation domain-containing protein
AEP_RS00655	none	WP_087493610.1	none	none	none	none	type IV pilus modification protein PilV
AEP_RS00665	AEP_00130	WP_087493612.1	GO:0140110	GO:0006355	IEA	IEA	transcriptional regulator NrdR
AEP_RS00670	AEP_00131	WP_087493613.1	none	none	none	none	serine hydroxymethyltransferase
AEP_RS00675	AEP_00132	WP_087493614.1	none	none	none	none	lytic transglycosylase domain-containing protein
AEP_RS00680	AEP_00133	WP_087493615.1	none	none	none	none	DUF349 domain-containing protein
AEP_RS00685	AEP_00134	WP_087493616.1	GO:0005515	none	IEA	none	HD family phosphohydrolase
AEP_RS00690	AEP_00135	WP_087493617.1	GO:0016462	GO:0009245	IEA	IEA	UDP-2,3-diacylglucosamine diphosphatase
AEP_RS00695	AEP_00136	WP_087493618.1	none	none	none	none	peptidylprolyl isomerase
AEP_RS00700	AEP_00137	WP_232459981.1	none	none	none	none	peptidyl-prolyl cis-trans isomerase
AEP_RS00705	AEP_00138	WP_087493620.1	GO:0016740	none	IEA	none	L,D-transpeptidase family protein
AEP_RS00710	AEP_00139	WP_087493621.1	none	none	none	none	tetratricopeptide repeat protein
AEP_RS00715	AEP_00140	WP_087493622.1	GO:0004817	GO:0006423	IEA	IEA	cysteine--tRNA ligase
AEP_RS00720	AEP_00141	WP_087493623.1	none	none	none	none	DNA-3-methyladenine glycosylase
AEP_RS00725	AEP_00142	WP_087493624.1	GO:0003989	GO:0006633	IEA	IEA	acetyl-CoA carboxylase carboxyltransferase subunit alpha
AEP_RS00730	AEP_00143	WP_087493625.1	GO:0016879	GO:0006400	IEA	IEA	tRNA lysidine(34) synthetase TilS
AEP_RS00740	AEP_00145	WP_087493626.1	none	none	none	none	glutaredoxin family protein
AEP_RS00745	AEP_00146	WP_087493627.1	none	none	none	none	M3 family metallopeptidase
AEP_RS00750	AEP_00147	WP_087493628.1	GO:0004488	none	IEA	none	bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase FolD
AEP_RS00755	AEP_00148	WP_087493629.1	none	GO:0000160	none	IEA	response regulator
AEP_RS00760	AEP_00149	WP_232459890.1	none	none	none	none	PAS domain-containing sensor histidine kinase
AEP_RS00765	AEP_00150	WP_087493630.1	GO:0004738	GO:0006086	IEA	IEA	pyruvate dehydrogenase (acetyl-transferring), homodimeric type
AEP_RS00770	AEP_00151	WP_087493631.1	GO:0004742	GO:0006086	IEA	IEA	dihydrolipoyllysine-residue acetyltransferase
AEP_RS00775	AEP_00152	WP_087493632.1	GO:0004148	GO:0006096;GO:0045454;GO:0051068	IEA	IEA;IEA;IEA	dihydrolipoyl dehydrogenase
AEP_RS00780	AEP_00153	WP_157672999.1	none	none	none	none	hypothetical protein
AEP_RS00785	AEP_00154	WP_198301875.1	none	none	none	none	MHS family MFS transporter
AEP_RS00790	AEP_00155	WP_087493634.1	none	none	none	none	hypothetical protein
AEP_RS00795	AEP_00156	WP_198301876.1	none	none	none	none	M13 family metallopeptidase
AEP_RS00800	AEP_00157	WP_232459891.1	GO:0004222	GO:0071586	IEA	IEA	CPBP family glutamic-type intramembrane protease
AEP_RS00805	AEP_00158	WP_232459892.1	none	none	none	none	serine hydrolase
AEP_RS00810	AEP_00159	WP_087493637.1	none	none	none	none	DUF1330 domain-containing protein
AEP_RS00815	AEP_00160	WP_157673000.1	none	none	none	none	sensor domain-containing diguanylate cyclase
AEP_RS00820	AEP_00161	WP_232459982.1	none	none	none	none	ATP-binding cassette domain-containing protein
AEP_RS00825	AEP_00162	WP_087493640.1	none	none	none	none	FtsX-like permease family protein
AEP_RS00830	AEP_00163	WP_087493641.1	none	none	none	none	HlyD family efflux transporter periplasmic adaptor subunit
AEP_RS00835	AEP_00164	WP_087493642.1	none	none	none	none	NAD(P)H-dependent oxidoreductase
AEP_RS00840	AEP_00165	WP_087493643.1	none	none	none	none	aspartate kinase
AEP_RS00845	AEP_00166	WP_087493644.1	none	none	none	none	response regulator transcription factor
AEP_RS00850	AEP_00167	WP_087493645.1	none	none	none	none	ATP-binding protein
AEP_RS00855	AEP_00168	WP_087497110.1	none	none	none	none	SURF1 family protein
AEP_RS00860	AEP_00169	WP_087493646.1	GO:0009486	GO:0015990	IEA	IEA	cytochrome o ubiquinol oxidase subunit IV
AEP_RS00865	AEP_00170	WP_087493647.1	GO:0009486	GO:0015990	IEA	IEA	cytochrome o ubiquinol oxidase subunit III
AEP_RS00870	AEP_00171	WP_087493648.1	GO:0009486	GO:0015990	IEA	IEA	cytochrome o ubiquinol oxidase subunit I
AEP_RS00875	AEP_00172	WP_087493649.1	GO:0009486	GO:0015990	IEA	IEA	ubiquinol oxidase subunit II
AEP_RS00880	AEP_00173	WP_087493650.1	GO:0022857	GO:0055085	IEA	IEA	MFS transporter
AEP_RS00885	AEP_00174	WP_198301934.1	none	none	none	none	PadR family transcriptional regulator
AEP_RS00890	AEP_00175	WP_087493652.1	none	none	none	none	siderophore-interacting protein
AEP_RS00895	AEP_00176	WP_087493653.1	none	none	none	none	hypothetical protein
AEP_RS00900	AEP_00177	WP_087493654.1	none	none	none	none	aldehyde dehydrogenase
AEP_RS00905	AEP_00178	WP_087493655.1	none	none	none	none	FAD-binding oxidoreductase
AEP_RS00910	AEP_00179	WP_087493656.1	none	none	none	none	YceI family protein
AEP_RS00915	AEP_00180	WP_087493657.1	none	none	none	none	zinc-binding alcohol dehydrogenase family protein
AEP_RS00920	AEP_00181	WP_087497111.1	none	none	none	none	sugar kinase
AEP_RS00925	AEP_00182	WP_232459893.1	none	none	none	none	mannitol dehydrogenase family protein
AEP_RS00930	AEP_00183	WP_087493659.1	none	none	none	none	D-galactonate dehydratase family protein
AEP_RS00935	AEP_00184	WP_087493660.1	none	none	none	none	altronate dehydratase family protein
AEP_RS00940	AEP_00185	WP_087493661.1	none	none	none	none	TRAP transporter large permease
AEP_RS00945	AEP_00186	WP_087493662.1	none	none	none	none	TRAP transporter small permease
AEP_RS00950	AEP_00187	WP_198301877.1	none	none	none	none	sialic acid TRAP transporter substrate-binding protein SiaP
AEP_RS00955	AEP_00188	WP_087493663.1	none	none	none	none	L-idonate 5-dehydrogenase
AEP_RS00960	AEP_00189	WP_198301878.1	none	none	none	none	FadR family transcriptional regulator
AEP_RS00965	AEP_00190	WP_087493664.1	GO:0003964	GO:0000373	IEA	IEA	group II intron reverse transcriptase/maturase
AEP_RS00970	AEP_00191	WP_087493664.1	GO:0003964	GO:0000373	IEA	IEA	group II intron reverse transcriptase/maturase
AEP_RS00975	AEP_00192	WP_087493665.1	none	none	none	none	PDR/VanB family oxidoreductase
AEP_RS00980	AEP_00193	WP_087493666.1	none	none	none	none	aromatic ring-hydroxylating dioxygenase subunit alpha
AEP_RS00985	AEP_00194	WP_087493667.1	GO:0003700	GO:0006355	IEA	IEA	MarR family transcriptional regulator
AEP_RS00990	AEP_00195	WP_232459983.1	none	none	none	none	SNF2-related protein
AEP_RS00995	AEP_00196	WP_087493669.1	none	none	none	none	VOC family protein
AEP_RS01000	AEP_00197	WP_087493670.1	none	none	none	none	aldehyde dehydrogenase family protein
AEP_RS01005	AEP_00198	WP_087493671.1	none	none	none	none	DNA oxidative demethylase AlkB
AEP_RS01010	AEP_00199	WP_232459894.1	none	none	none	none	C40 family peptidase
AEP_RS01015	AEP_00200	WP_087493672.1	none	none	none	none	TetR/AcrR family transcriptional regulator
AEP_RS01020	AEP_00201	WP_087493673.1	none	none	none	none	isochorismatase family protein
AEP_RS01025	AEP_00202	WP_087493674.1	GO:0050218	GO:0019629	IEA	IEA	propionate--CoA ligase
AEP_RS01030	AEP_00203	WP_087493675.1	GO:0004591;GO:0030976	GO:0006099	IEA;IEA	IEA	2-oxoglutarate dehydrogenase E1 component
AEP_RS01035	AEP_00204	WP_087493676.1	GO:0004149	GO:0006099	IEA	IEA	2-oxoglutarate dehydrogenase complex dihydrolipoyllysine-residue succinyltransferase
AEP_RS01040	AEP_00205	WP_087493677.1	GO:0004148	GO:0006096;GO:0045454;GO:0051068	IEA	IEA;IEA;IEA	dihydrolipoyl dehydrogenase
AEP_RS01045	AEP_00206	WP_087493678.1	GO:0005524;GO:0016887	GO:0051301	IEA;IEA	IEA	cell division protein ZapE
AEP_RS01050	AEP_00207	WP_087493679.1	none	none	none	none	hypothetical protein
AEP_RS01055	AEP_00208	WP_087493680.1	none	none	none	none	protein phosphatase 2C domain-containing protein
AEP_RS01060	none	WP_087493681.1	none	none	none	none	YdcH family protein
AEP_RS01065	AEP_00209	WP_087493682.1	none	none	none	none	ATP-dependent DNA helicase
AEP_RS01070	AEP_00210	WP_087493683.1	none	none	none	none	outer membrane protein assembly factor BamD
AEP_RS01075	AEP_00211	WP_087497115.1	none	none	none	none	RluA family pseudouridine synthase
AEP_RS01080	AEP_00212	WP_087493684.1	GO:0005515	GO:0007059	IEA	IEA	SMC-Scp complex subunit ScpB
AEP_RS01085	AEP_00213	WP_087493685.1	none	none	none	none	rRNA pseudouridine synthase
AEP_RS01090	AEP_00214	WP_087493686.1	GO:0004550	GO:0006165	IEA	IEA	nucleoside-diphosphate kinase
AEP_RS01095	AEP_00215	WP_087493687.1	GO:0008757;GO:0016433	GO:0031167	IEA;IEA	IEA	23S rRNA (adenine(2503)-C(2))-methyltransferase RlmN
AEP_RS01100	AEP_00216	WP_087493688.1	GO:0005515	none	IEA	none	type IV pilus biogenesis/stability protein PilW
AEP_RS01105	AEP_00217	WP_232459895.1	none	none	none	none	helix-turn-helix domain-containing protein
AEP_RS01110	AEP_00218	WP_087497117.1	GO:0046429	GO:0044237	IEA	IEA	flavodoxin-dependent (E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase
AEP_RS01115	AEP_00219	WP_087493689.1	GO:0004821	GO:0006427	IEA	IEA	histidine--tRNA ligase
AEP_RS01120	AEP_00220	WP_087493690.1	none	none	none	none	tetratricopeptide repeat protein
AEP_RS01125	AEP_00221	WP_257789662.1	GO:0005515	none	IEA	none	outer membrane protein assembly factor BamB
AEP_RS01130	AEP_00222	WP_087493691.1	GO:0003924;GO:0005525;GO:0043022	GO:0042254	IEA;IEA;IEA	IEA	ribosome biogenesis GTPase Der
AEP_RS01135	AEP_00223	WP_087493692.1	GO:0003723	GO:0006355	IEA	IEA	RNA chaperone Hfq
AEP_RS01140	AEP_00224	WP_232459897.1	GO:0005525	GO:0008150	IEA	IEA	GTPase HflX
AEP_RS01145	AEP_00225	WP_087493694.1	GO:0003674	GO:0045861	IEA	IEA	FtsH protease activity modulator HflK
AEP_RS01150	AEP_00226	WP_087493695.1	GO:0003674	GO:0045861	IEA	IEA	protease modulator HflC
AEP_RS01155	none	WP_087493696.1	none	none	none	none	DUF2065 domain-containing protein
AEP_RS01160	AEP_00227	WP_087493697.1	none	GO:0000105	none	IEA	ATP phosphoribosyltransferase regulatory subunit
AEP_RS01165	AEP_00228	WP_087493698.1	GO:0004019;GO:0005525	GO:0006164	IEA;IEA	IEA	adenylosuccinate synthase
AEP_RS01170	AEP_00229	WP_087493699.1	none	none	none	none	phosphoribosyltransferase
AEP_RS01175	AEP_00230	WP_087493700.1	GO:0030170	GO:0019346	IEA	IEA	PLP-dependent transferase
AEP_RS01180	AEP_00231	WP_087493701.1	none	none	none	none	DUF2189 domain-containing protein
AEP_RS01185	none	WP_087493702.1	none	none	none	none	hypothetical protein
AEP_RS01190	AEP_00232	WP_087497120.1	none	none	none	none	arylesterase
AEP_RS01195	AEP_00233	WP_198301879.1	none	none	none	none	ABC transporter ATP-binding protein
AEP_RS01200	AEP_00234	WP_087493703.1	none	none	none	none	YdeI/OmpD-associated family protein
AEP_RS01205	AEP_00235	WP_087493704.1	none	none	none	none	CHASE domain-containing protein
AEP_RS01210	AEP_00236	WP_087493705.1	GO:0008173	GO:0009451	IEA	IEA	23S rRNA (guanosine(2251)-2'-O)-methyltransferase RlmB
AEP_RS01215	AEP_00237	WP_157673001.1	none	none	none	none	hypothetical protein
AEP_RS01220	AEP_00238	WP_087493707.1	none	none	none	none	hypothetical protein
AEP_RS20935	AEP_00239	WP_232459898.1	none	none	none	none	BON domain-containing protein
AEP_RS01230	AEP_00240	WP_087493708.1	none	none	none	none	chromate transporter
AEP_RS01235	AEP_00241	WP_087493709.1	none	none	none	none	chromate transporter
AEP_RS01240	AEP_00242	WP_087493710.1	none	none	none	none	metal-dependent hydrolase
AEP_RS01245	AEP_00243	WP_087493711.1	none	none	none	none	alpha/beta fold hydrolase
AEP_RS01250	AEP_00244	WP_087493712.1	GO:0070403	GO:0006631	IEA	IEA	3-hydroxyacyl-CoA dehydrogenase NAD-binding domain-containing protein
AEP_RS01255	AEP_00245	WP_087493713.1	GO:0016747	none	IEA	none	acetyl-CoA C-acetyltransferase
AEP_RS01260	AEP_00246	WP_087493714.1	GO:0016627	none	IEA	none	acyl-CoA dehydrogenase family protein
AEP_RS01265	AEP_00247	WP_087497122.1	none	none	none	none	tripartite tricarboxylate transporter substrate-binding protein
AEP_RS01270	AEP_00248	WP_087493715.1	none	none	none	none	sensor histidine kinase
AEP_RS01275	AEP_00249	WP_087493716.1	none	GO:0000160	none	IEA	response regulator
AEP_RS01280	AEP_00250	WP_087493717.1	none	none	none	none	tripartite tricarboxylate transporter substrate binding protein
AEP_RS01285	AEP_00251	WP_087497123.1	none	none	none	none	LysR family transcriptional regulator
AEP_RS01290	AEP_00252	WP_087493718.1	none	none	none	none	CoA transferase
AEP_RS01295	AEP_00253	WP_087493719.1	none	none	none	none	hydroxymethylglutaryl-CoA lyase
AEP_RS01300	AEP_00254	WP_087493720.1	none	none	none	none	VOC family protein
AEP_RS01305	AEP_00255	WP_087493721.1	none	none	none	none	alpha/beta hydrolase
AEP_RS01310	AEP_00256	WP_198301880.1	none	none	none	none	tripartite tricarboxylate transporter substrate binding protein
AEP_RS01315	AEP_00257	WP_087497125.1	none	none	none	none	D-2-hydroxyacid dehydrogenase
AEP_RS01320	AEP_00258	WP_232459899.1	none	none	none	none	glycerate kinase
AEP_RS01325	AEP_00259	WP_087493722.1	none	none	none	none	tripartite tricarboxylate transporter TctB family protein
AEP_RS01330	AEP_00260	WP_087493723.1	none	none	none	none	tripartite tricarboxylate transporter permease
