protein_id	old_locus_tag	locus_tag
WP_087493539.1	AEP_00050	AEP_RS00250
AEP_00051	 	 
WP_087497099.1	AEP_00051	AEP_RS00255
AEP_00052	 	 
WP_087493540.1	AEP_00052	AEP_RS00260
AEP_00053	 	 
WP_087493541.1	AEP_00053	AEP_RS00265
AEP_00054	 	 
WP_232459885.1	AEP_00054	AEP_RS00270
AEP_00055	 	 
WP_087493543.1	AEP_00055	AEP_RS00275
AEP_00057	 	 
WP_087493545.1	AEP_00057	AEP_RS00285
AEP_00058	 	 
WP_087493546.1	AEP_00058	AEP_RS00290
AEP_00059	 	 
WP_087493547.1	AEP_00059	AEP_RS00295
WP_087493548.1	 	 
AEP_00060	 	 
WP_157672990.1	AEP_00060	AEP_RS00305
AEP_00061	 	 
WP_087493550.1	AEP_00061	AEP_RS00310
AEP_00062	 	 
WP_157672991.1	AEP_00062	AEP_RS00315
AEP_00063	 	 
WP_087497100.1	AEP_00063	AEP_RS00320
AEP_00064	 	 
WP_157672992.1	AEP_00064	AEP_RS00325
AEP_00065	 	 
WP_157672993.1	AEP_00065	AEP_RS20560
AEP_00066	 	 
WP_087493553.1	AEP_00066	AEP_RS00335
AEP_00069	 	 
WP_087493554.1	AEP_00069	AEP_RS00345
AEP_00070	 	 
WP_087493555.1	AEP_00070	AEP_RS00350
AEP_00071	 	 
WP_087493556.1	AEP_00071	AEP_RS00355
AEP_00072	 	 
WP_157672994.1	AEP_00072	AEP_RS20565
AEP_00073	 	 
WP_087493557.1	AEP_00073	AEP_RS00360
AEP_00074	 	 
WP_232459886.1	AEP_00074	AEP_RS00365
AEP_00075	 	 
WP_087493558.1	AEP_00075	AEP_RS00370
AEP_00076	 	 
WP_087493559.1	AEP_00076	AEP_RS00375
AEP_00077	 	 
WP_087493560.1	AEP_00077	AEP_RS00380
AEP_00078	 	 
WP_157672995.1	AEP_00078	AEP_RS00385
AEP_00079	 	 
WP_087493562.1	AEP_00079	AEP_RS00390
AEP_00080	 	 
WP_087493563.1	AEP_00080	AEP_RS00395
AEP_00081	 	 
WP_087493564.1	AEP_00081	AEP_RS00400
AEP_00082	 	 
WP_087493565.1	AEP_00082	AEP_RS00405
AEP_00084	 	 
WP_087493567.1	AEP_00084	AEP_RS00415
WP_087493568.1	 	 
AEP_00085	 	 
WP_087493570.1	AEP_00085	AEP_RS00430
AEP_00086	 	 
WP_087493571.1	AEP_00086	AEP_RS00435
AEP_00087	 	 
WP_087493572.1	AEP_00087	AEP_RS00440
AEP_00088	 	 
WP_087493573.1	AEP_00088	AEP_RS00445
AEP_00089	 	 
WP_087493574.1	AEP_00089	AEP_RS00450
AEP_00090	 	 
WP_087493575.1	AEP_00090	AEP_RS00455
AEP_00091	 	 
WP_087493576.1	AEP_00091	AEP_RS00460
AEP_00092	 	 
WP_087493577.1	AEP_00092	AEP_RS00465
AEP_00093	 	 
WP_087493578.1	AEP_00093	AEP_RS00470
AEP_00094	 	 
WP_087493579.1	AEP_00094	AEP_RS00475
AEP_00095	 	 
WP_232459887.1	AEP_00095	AEP_RS00480
AEP_00096	 	 
WP_087493580.1	AEP_00096	AEP_RS00485
AEP_00097	 	 
WP_087493581.1	AEP_00097	AEP_RS00490
AEP_00098	 	 
WP_087493582.1	AEP_00098	AEP_RS00495
AEP_00099	 	 
WP_087493583.1	AEP_00099	AEP_RS00500
AEP_00100	 	 
WP_087493584.1	AEP_00100	AEP_RS00505
AEP_00101	 	 
WP_232459888.1	AEP_00101	AEP_RS20925
AEP_00102	 	 
WP_087493585.1	AEP_00102	AEP_RS00515
AEP_00103	 	 
WP_087493586.1	AEP_00103	AEP_RS00520
AEP_00104	 	 
WP_087493587.1	AEP_00104	AEP_RS00525
AEP_00105	 	 
WP_087493588.1	AEP_00105	AEP_RS00530
AEP_00106	 	 
WP_087493589.1	AEP_00106	AEP_RS00535
AEP_00107	 	 
WP_232459889.1	AEP_00107	AEP_RS00540
AEP_00108	 	 
WP_087493590.1	AEP_00108	AEP_RS00545
AEP_00109	 	 
WP_087493591.1	AEP_00109	AEP_RS00550
AEP_00110	 	 
WP_087493592.1	AEP_00110	AEP_RS00555
AEP_00111	 	 
WP_087493593.1	AEP_00111	AEP_RS00560
AEP_00112	 	 
WP_087493594.1	AEP_00112	AEP_RS00565
AEP_00113	 	 
WP_087493595.1	AEP_00113	AEP_RS00570
AEP_00114	 	 
WP_087493596.1	AEP_00114	AEP_RS00575
AEP_00115	 	 
WP_087493597.1	AEP_00115	AEP_RS00580
AEP_00116	 	 
AEP_00117	 	 
WP_087493598.1	AEP_00117	AEP_RS00590
AEP_00118	 	 
WP_157672996.1	AEP_00118	AEP_RS00595
AEP_00119	 	 
WP_157672997.1	AEP_00119	AEP_RS00600
AEP_00120	 	 
WP_087493601.1	AEP_00120	AEP_RS00605
AEP_00121	 	 
WP_087493602.1	AEP_00121	AEP_RS00610
AEP_00122	 	 
WP_087493603.1	AEP_00122	AEP_RS00615
AEP_00123	 	 
WP_087493604.1	AEP_00123	AEP_RS00620
AEP_00124	 	 
WP_087493605.1	AEP_00124	AEP_RS00625
AEP_00125	 	 
WP_087497106.1	AEP_00125	AEP_RS00630
WP_087493606.1	 	 
AEP_00126	 	 
WP_087493607.1	AEP_00126	AEP_RS00640
AEP_00127	 	 
WP_087493608.1	AEP_00127	AEP_RS00645
AEP_00128	 	 
WP_157672998.1	AEP_00128	AEP_RS00650
WP_087493610.1	 	 
AEP_00130	 	 
WP_087493612.1	AEP_00130	AEP_RS00665
AEP_00131	 	 
WP_087493613.1	AEP_00131	AEP_RS00670
AEP_00132	 	 
WP_087493614.1	AEP_00132	AEP_RS00675
AEP_00133	 	 
WP_087493615.1	AEP_00133	AEP_RS00680
AEP_00134	 	 
WP_087493616.1	AEP_00134	AEP_RS00685
AEP_00135	 	 
WP_087493617.1	AEP_00135	AEP_RS00690
AEP_00136	 	 
WP_087493618.1	AEP_00136	AEP_RS00695
AEP_00137	 	 
WP_232459981.1	AEP_00137	AEP_RS00700
AEP_00138	 	 
WP_087493620.1	AEP_00138	AEP_RS00705
AEP_00139	 	 
WP_087493621.1	AEP_00139	AEP_RS00710
AEP_00140	 	 
WP_087493622.1	AEP_00140	AEP_RS00715
AEP_00141	 	 
WP_087493623.1	AEP_00141	AEP_RS00720
AEP_00142	 	 
WP_087493624.1	AEP_00142	AEP_RS00725
AEP_00143	 	 
WP_087493625.1	AEP_00143	AEP_RS00730
AEP_00144	 	 
AEP_00145	 	 
WP_087493626.1	AEP_00145	AEP_RS00740
AEP_00146	 	 
WP_087493627.1	AEP_00146	AEP_RS00745
AEP_00147	 	 
WP_087493628.1	AEP_00147	AEP_RS00750
AEP_00148	 	 
WP_087493629.1	AEP_00148	AEP_RS00755
AEP_00149	 	 
WP_232459890.1	AEP_00149	AEP_RS00760
AEP_00150	 	 
WP_087493630.1	AEP_00150	AEP_RS00765
AEP_00151	 	 
WP_087493631.1	AEP_00151	AEP_RS00770
AEP_00152	 	 
WP_087493632.1	AEP_00152	AEP_RS00775
AEP_00153	 	 
WP_157672999.1	AEP_00153	AEP_RS00780
AEP_00154	 	 
WP_198301875.1	AEP_00154	AEP_RS00785
AEP_00155	 	 
WP_087493634.1	AEP_00155	AEP_RS00790
AEP_00156	 	 
WP_198301876.1	AEP_00156	AEP_RS00795
AEP_00157	 	 
WP_232459891.1	AEP_00157	AEP_RS00800
AEP_00158	 	 
WP_232459892.1	AEP_00158	AEP_RS00805
AEP_00159	 	 
WP_087493637.1	AEP_00159	AEP_RS00810
AEP_00160	 	 
WP_157673000.1	AEP_00160	AEP_RS00815
AEP_00161	 	 
WP_232459982.1	AEP_00161	AEP_RS00820
AEP_00162	 	 
WP_087493640.1	AEP_00162	AEP_RS00825
AEP_00163	 	 
WP_087493641.1	AEP_00163	AEP_RS00830
AEP_00164	 	 
WP_087493642.1	AEP_00164	AEP_RS00835
AEP_00165	 	 
WP_087493643.1	AEP_00165	AEP_RS00840
AEP_00166	 	 
WP_087493644.1	AEP_00166	AEP_RS00845
AEP_00167	 	 
WP_087493645.1	AEP_00167	AEP_RS00850
AEP_00168	 	 
WP_087497110.1	AEP_00168	AEP_RS00855
AEP_00169	 	 
WP_087493646.1	AEP_00169	AEP_RS00860
AEP_00170	 	 
WP_087493647.1	AEP_00170	AEP_RS00865
AEP_00171	 	 
WP_087493648.1	AEP_00171	AEP_RS00870
AEP_00172	 	 
WP_087493649.1	AEP_00172	AEP_RS00875
AEP_00173	 	 
WP_087493650.1	AEP_00173	AEP_RS00880
AEP_00174	 	 
WP_198301934.1	AEP_00174	AEP_RS00885
AEP_00175	 	 
WP_087493652.1	AEP_00175	AEP_RS00890
AEP_00176	 	 
WP_087493653.1	AEP_00176	AEP_RS00895
AEP_00177	 	 
WP_087493654.1	AEP_00177	AEP_RS00900
AEP_00178	 	 
WP_087493655.1	AEP_00178	AEP_RS00905
AEP_00179	 	 
WP_087493656.1	AEP_00179	AEP_RS00910
AEP_00180	 	 
WP_087493657.1	AEP_00180	AEP_RS00915
AEP_00181	 	 
WP_087497111.1	AEP_00181	AEP_RS00920
AEP_00182	 	 
WP_232459893.1	AEP_00182	AEP_RS00925
AEP_00183	 	 
WP_087493659.1	AEP_00183	AEP_RS00930
AEP_00184	 	 
WP_087493660.1	AEP_00184	AEP_RS00935
AEP_00185	 	 
WP_087493661.1	AEP_00185	AEP_RS00940
AEP_00186	 	 
WP_087493662.1	AEP_00186	AEP_RS00945
AEP_00187	 	 
WP_198301877.1	AEP_00187	AEP_RS00950
AEP_00188	 	 
WP_087493663.1	AEP_00188	AEP_RS00955
AEP_00189	 	 
WP_198301878.1	AEP_00189	AEP_RS00960
AEP_00190	 	 
WP_087493664.1	AEP_03152	AEP_RS15740
AEP_00191	 	 
AEP_00192	 	 
WP_087493665.1	AEP_00192	AEP_RS00975
AEP_00193	 	 
WP_087493666.1	AEP_00193	AEP_RS00980
AEP_00194	 	 
WP_087493667.1	AEP_00194	AEP_RS00985
AEP_00195	 	 
WP_232459983.1	AEP_00195	AEP_RS00990
AEP_00196	 	 
WP_087493669.1	AEP_00196	AEP_RS00995
AEP_00197	 	 
WP_087493670.1	AEP_00197	AEP_RS01000
AEP_00198	 	 
WP_087493671.1	AEP_00198	AEP_RS01005
AEP_00199	 	 
WP_232459894.1	AEP_00199	AEP_RS01010
AEP_00200	 	 
WP_087493672.1	AEP_00200	AEP_RS01015
AEP_00201	 	 
WP_087493673.1	AEP_00201	AEP_RS01020
AEP_00202	 	 
WP_087493674.1	AEP_00202	AEP_RS01025
AEP_00203	 	 
WP_087493675.1	AEP_00203	AEP_RS01030
AEP_00204	 	 
WP_087493676.1	AEP_00204	AEP_RS01035
AEP_00205	 	 
WP_087493677.1	AEP_00205	AEP_RS01040
AEP_00206	 	 
WP_087493678.1	AEP_00206	AEP_RS01045
AEP_00207	 	 
WP_087493679.1	AEP_00207	AEP_RS01050
AEP_00208	 	 
WP_087493680.1	AEP_00208	AEP_RS01055
WP_087493681.1	 	 
AEP_00209	 	 
WP_087493682.1	AEP_00209	AEP_RS01065
AEP_00210	 	 
WP_087493683.1	AEP_00210	AEP_RS01070
AEP_00211	 	 
WP_087497115.1	AEP_00211	AEP_RS01075
AEP_00212	 	 
WP_087493684.1	AEP_00212	AEP_RS01080
AEP_00213	 	 
WP_087493685.1	AEP_00213	AEP_RS01085
AEP_00214	 	 
WP_087493686.1	AEP_00214	AEP_RS01090
AEP_00215	 	 
WP_087493687.1	AEP_00215	AEP_RS01095
AEP_00216	 	 
WP_087493688.1	AEP_00216	AEP_RS01100
AEP_00217	 	 
WP_232459895.1	AEP_00217	AEP_RS01105
AEP_00218	 	 
WP_087497117.1	AEP_00218	AEP_RS01110
AEP_00219	 	 
WP_087493689.1	AEP_00219	AEP_RS01115
AEP_00220	 	 
WP_087493690.1	AEP_00220	AEP_RS01120
AEP_00221	 	 
WP_257789662.1	AEP_00221	AEP_RS01125
AEP_00222	 	 
WP_087493691.1	AEP_00222	AEP_RS01130
AEP_00223	 	 
WP_087493692.1	AEP_00223	AEP_RS01135
AEP_00224	 	 
WP_232459897.1	AEP_00224	AEP_RS01140
AEP_00225	 	 
WP_087493694.1	AEP_00225	AEP_RS01145
AEP_00226	 	 
WP_087493695.1	AEP_00226	AEP_RS01150
WP_087493696.1	 	 
AEP_00227	 	 
WP_087493697.1	AEP_00227	AEP_RS01160
AEP_00228	 	 
WP_087493698.1	AEP_00228	AEP_RS01165
AEP_00229	 	 
WP_087493699.1	AEP_00229	AEP_RS01170
AEP_00230	 	 
WP_087493700.1	AEP_00230	AEP_RS01175
AEP_00231	 	 
WP_087493701.1	AEP_00231	AEP_RS01180
WP_087493702.1	 	 
AEP_00232	 	 
WP_087497120.1	AEP_00232	AEP_RS01190
AEP_00233	 	 
WP_198301879.1	AEP_00233	AEP_RS01195
AEP_00234	 	 
WP_087493703.1	AEP_00234	AEP_RS01200
AEP_00235	 	 
WP_087493704.1	AEP_00235	AEP_RS01205
AEP_00236	 	 
WP_087493705.1	AEP_00236	AEP_RS01210
AEP_00237	 	 
WP_157673001.1	AEP_00237	AEP_RS01215
AEP_00238	 	 
WP_087493707.1	AEP_00238	AEP_RS01220
AEP_00239	 	 
WP_232459898.1	AEP_00239	AEP_RS20935
AEP_00240	 	 
WP_087493708.1	AEP_00240	AEP_RS01230
AEP_00241	 	 
WP_087493709.1	AEP_00241	AEP_RS01235
AEP_00242	 	 
WP_087493710.1	AEP_00242	AEP_RS01240
AEP_00243	 	 
WP_087493711.1	AEP_00243	AEP_RS01245
AEP_00244	 	 
WP_087493712.1	AEP_00244	AEP_RS01250
AEP_00245	 	 
WP_087493713.1	AEP_00245	AEP_RS01255
AEP_00246	 	 
WP_087493714.1	AEP_00246	AEP_RS01260
AEP_00247	 	 
WP_087497122.1	AEP_00247	AEP_RS01265
AEP_00248	 	 
WP_087493715.1	AEP_00248	AEP_RS01270
AEP_00249	 	 
WP_087493716.1	AEP_00249	AEP_RS01275
AEP_00250	 	 
WP_087493717.1	AEP_00250	AEP_RS01280
AEP_00251	 	 
WP_087497123.1	AEP_00251	AEP_RS01285
AEP_00252	 	 
WP_087493718.1	AEP_00252	AEP_RS01290
AEP_00253	 	 
WP_087493719.1	AEP_00253	AEP_RS01295
AEP_00254	 	 
WP_087493720.1	AEP_00254	AEP_RS01300
AEP_00255	 	 
WP_087493721.1	AEP_00255	AEP_RS01305
AEP_00256	 	 
WP_198301880.1	AEP_00256	AEP_RS01310
AEP_00257	 	 
WP_087497125.1	AEP_00257	AEP_RS01315
AEP_00258	 	 
WP_232459899.1	AEP_00258	AEP_RS01320
AEP_00259	 	 
WP_087493722.1	AEP_00259	AEP_RS01325
AEP_00260	 	 
WP_087493723.1	AEP_00260	AEP_RS01330
AEP_00261	 	 
WP_087493724.1	AEP_00261	AEP_RS01335
AEP_00262	 	 
WP_087493725.1	AEP_00262	AEP_RS01340
AEP_00263	 	 
WP_087493726.1	AEP_00263	AEP_RS01345
AEP_00264	 	 
WP_087493727.1	AEP_00264	AEP_RS01350
AEP_00265	 	 
WP_087493728.1	AEP_00265	AEP_RS01355
AEP_00266	 	 
WP_087493729.1	AEP_00266	AEP_RS01360
AEP_00267	 	 
WP_087493730.1	AEP_00267	AEP_RS01365
AEP_00268	 	 
WP_087493731.1	AEP_00268	AEP_RS01370
AEP_00269	 	 
WP_087493732.1	AEP_00269	AEP_RS01375
AEP_00270	 	 
WP_087493733.1	AEP_00270	AEP_RS01380
AEP_00271	 	 
WP_087497127.1	AEP_00271	AEP_RS01385
AEP_00272	 	 
WP_087493734.1	AEP_00272	AEP_RS01390
AEP_00273	 	 
WP_087493735.1	AEP_00273	AEP_RS01395
AEP_00274	 	 
WP_087493736.1	AEP_00274	AEP_RS01400
AEP_00275	 	 
WP_157673002.1	AEP_00275	AEP_RS01405
AEP_00276	 	 
WP_087493738.1	AEP_00276	AEP_RS01410
AEP_00277	 	 
WP_232459900.1	AEP_00277	AEP_RS01415
AEP_00278	 	 
WP_087493739.1	AEP_00278	AEP_RS01420
AEP_00279	 	 
WP_170211787.1	AEP_00279	AEP_RS01425
AEP_00280	 	 
WP_087493741.1	AEP_00280	AEP_RS01430
AEP_00281	 	 
WP_087493742.1	AEP_00281	AEP_RS01435
AEP_00282	 	 
WP_087493743.1	AEP_00282	AEP_RS01440
AEP_00283	 	 
WP_087493744.1	AEP_00283	AEP_RS01445
AEP_00284	 	 
WP_087497129.1	AEP_00284	AEP_RS01450
AEP_00285	 	 
WP_087493745.1	AEP_00285	AEP_RS01455
AEP_00286	 	 
WP_087493746.1	AEP_00286	AEP_RS01460
AEP_00287	 	 
WP_087493747.1	AEP_00287	AEP_RS01465
AEP_00288	 	 
WP_087497130.1	AEP_00288	AEP_RS01470
AEP_00289	 	 
WP_157673003.1	AEP_00289	AEP_RS20570
AEP_00290	 	 
WP_232459901.1	AEP_00290	AEP_RS01480
AEP_00291	 	 
WP_087493750.1	AEP_00291	AEP_RS01485
AEP_00292	 	 
WP_087493751.1	AEP_00292	AEP_RS01490
AEP_00293	 	 
WP_087493752.1	AEP_00293	AEP_RS01495
AEP_00294	 	 
WP_087493753.1	AEP_00294	AEP_RS01500
AEP_00295	 	 
WP_087497131.1	AEP_00295	AEP_RS01505
AEP_00296	 	 
WP_087497132.1	AEP_00296	AEP_RS01510
AEP_00297	 	 
WP_087493754.1	AEP_00297	AEP_RS01515
AEP_00298	 	 
WP_087493755.1	AEP_00298	AEP_RS01520
AEP_00299	 	 
WP_087493756.1	AEP_00299	AEP_RS01525
AEP_00300	 	 
WP_087493757.1	AEP_00300	AEP_RS01530
AEP_00301	 	 
WP_087493758.1	AEP_00301	AEP_RS01535
AEP_00302	 	 
WP_087493759.1	AEP_00302	AEP_RS01540
AEP_00303	 	 
WP_157673004.1	AEP_00303	AEP_RS01545
AEP_00304	 	 
WP_087493761.1	AEP_00304	AEP_RS01550
AEP_00305	 	 
WP_087493762.1	AEP_00305	AEP_RS01555
AEP_00306	 	 
WP_087493763.1	AEP_00306	AEP_RS01560
AEP_00307	 	 
WP_087493764.1	AEP_00307	AEP_RS01565
AEP_00308	 	 
AEP_00309	 	 
WP_087493765.1	AEP_00309	AEP_RS01575
AEP_00310	 	 
WP_087493766.1	AEP_00310	AEP_RS01580
AEP_00311	 	 
WP_087493767.1	AEP_00311	AEP_RS01585
AEP_00312	 	 
WP_087493768.1	AEP_00312	AEP_RS01590
AEP_00313	 	 
WP_087497133.1	AEP_00313	AEP_RS01595
AEP_00314	 	 
WP_087493769.1	AEP_00314	AEP_RS01600
AEP_00315	 	 
WP_087493770.1	AEP_00315	AEP_RS01605
AEP_00316	 	 
WP_087493771.1	AEP_00316	AEP_RS01610
AEP_00317	 	 
WP_087493772.1	AEP_00317	AEP_RS01615
AEP_00318	 	 
WP_087493773.1	AEP_00318	AEP_RS01620
AEP_00319	 	 
WP_087493774.1	AEP_00319	AEP_RS01625
AEP_00320	 	 
WP_087493775.1	AEP_00320	AEP_RS01630
AEP_00321	 	 
WP_087493776.1	AEP_00321	AEP_RS01635
AEP_00323	 	 
WP_087493777.1	AEP_00323	AEP_RS01640
AEP_00324	 	 
WP_232459902.1	AEP_00324	AEP_RS01645
AEP_00325	 	 
WP_087493779.1	AEP_00325	AEP_RS01650
AEP_00326	 	 
WP_087493780.1	AEP_00326	AEP_RS01655
AEP_00327	 	 
WP_087493781.1	AEP_00327	AEP_RS01660
AEP_00328	 	 
WP_198301881.1	AEP_00328	AEP_RS01665
AEP_00329	 	 
WP_087493783.1	AEP_00329	AEP_RS01670
AEP_00330	 	 
WP_087497134.1	AEP_00330	AEP_RS01675
AEP_00331	 	 
WP_087493784.1	AEP_00331	AEP_RS01680
AEP_00332	 	 
WP_087493785.1	AEP_00332	AEP_RS01685
AEP_00333	 	 
WP_087493786.1	AEP_00333	AEP_RS01690
AEP_00334	 	 
WP_232459903.1	AEP_00334	AEP_RS01695
AEP_00335	 	 
WP_087497135.1	AEP_00335	AEP_RS01700
AEP_00336	 	 
WP_087493788.1	AEP_00336	AEP_RS01705
AEP_00337	 	 
WP_087493789.1	AEP_00337	AEP_RS01710
AEP_00338	 	 
WP_087493790.1	AEP_00338	AEP_RS01715
AEP_00339	 	 
WP_087493791.1	AEP_00339	AEP_RS01720
AEP_00340	 	 
WP_087493792.1	AEP_00340	AEP_RS01725
WP_087493793.1	 	 
AEP_00342	 	 
WP_087493794.1	AEP_00342	AEP_RS01735
AEP_00343	 	 
AEP_00344	 	 
WP_087493795.1	AEP_00344	AEP_RS01745
AEP_00345	 	 
WP_087493796.1	AEP_00345	AEP_RS01750
AEP_00346	 	 
WP_087493797.1	AEP_00346	AEP_RS01755
AEP_00347	 	 
WP_087493798.1	AEP_00347	AEP_RS01760
AEP_00348	 	 
WP_087493799.1	AEP_00348	AEP_RS01765
AEP_00349	 	 
WP_087497136.1	AEP_00349	AEP_RS01770
AEP_00350	 	 
WP_087497137.1	AEP_00350	AEP_RS01775
AEP_00351	 	 
WP_087493800.1	AEP_00351	AEP_RS01780
AEP_00352	 	 
WP_087493801.1	AEP_00352	AEP_RS01785
AEP_00353	 	 
WP_087493802.1	AEP_00353	AEP_RS01790
AEP_00354	 	 
WP_087493803.1	AEP_00354	AEP_RS01795
AEP_00355	 	 
WP_087493804.1	AEP_00355	AEP_RS01800
AEP_00356	 	 
WP_087493805.1	AEP_00356	AEP_RS01805
AEP_00357	 	 
WP_087493806.1	AEP_00357	AEP_RS01810
AEP_00358	 	 
WP_087493807.1	AEP_00358	AEP_RS01815
AEP_00359	 	 
WP_087493808.1	AEP_00359	AEP_RS01820
AEP_00360	 	 
WP_087493809.1	AEP_00360	AEP_RS01825
AEP_00361	 	 
WP_087493810.1	AEP_00361	AEP_RS01830
AEP_00362	 	 
WP_087493811.1	AEP_00362	AEP_RS01835
AEP_00363	 	 
WP_087493812.1	AEP_00363	AEP_RS01840
AEP_00364	 	 
WP_087493813.1	AEP_00364	AEP_RS01845
AEP_00365	 	 
WP_087493814.1	AEP_00365	AEP_RS01850
AEP_00366	 	 
WP_087493815.1	AEP_00366	AEP_RS01855
AEP_00367	 	 
WP_087493816.1	AEP_00367	AEP_RS01860
AEP_00368	 	 
WP_087493817.1	AEP_00368	AEP_RS01865
AEP_00369	 	 
WP_232459904.1	AEP_00369	AEP_RS01870
AEP_00370	 	 
WP_087493818.1	AEP_00370	AEP_RS01875
AEP_00371	 	 
WP_087493819.1	AEP_00371	AEP_RS01880
AEP_00372	 	 
WP_157673007.1	AEP_00372	AEP_RS01885
AEP_00374	 	 
WP_087493821.1	AEP_00374	AEP_RS01890
AEP_00375	 	 
WP_087493822.1	AEP_00375	AEP_RS01895
AEP_00376	 	 
WP_087493823.1	AEP_00376	AEP_RS01900
AEP_00377	 	 
WP_087493824.1	AEP_00377	AEP_RS01905
AEP_00378	 	 
WP_087493825.1	AEP_00378	AEP_RS01910
AEP_00379	 	 
WP_087493826.1	AEP_00379	AEP_RS01915
AEP_00380	 	 
WP_087493827.1	AEP_00380	AEP_RS01920
AEP_00381	 	 
WP_087493828.1	AEP_00381	AEP_RS01925
AEP_00382	 	 
WP_087493829.1	AEP_00382	AEP_RS01930
AEP_00383	 	 
WP_087493830.1	AEP_00383	AEP_RS01935
AEP_00384	 	 
WP_198301882.1	AEP_00384	AEP_RS01940
AEP_00385	 	 
WP_087493832.1	AEP_00385	AEP_RS01945
AEP_00386	 	 
WP_232459905.1	AEP_00386	AEP_RS01950
AEP_00387	 	 
WP_087493833.1	AEP_00387	AEP_RS01955
AEP_00388	 	 
WP_087493834.1	AEP_00388	AEP_RS01960
AEP_00389	 	 
WP_087493835.1	AEP_00389	AEP_RS01965
AEP_00390	 	 
WP_157673008.1	AEP_00390	AEP_RS01970
AEP_00391	 	 
WP_087493837.1	AEP_00391	AEP_RS01975
AEP_00392	 	 
WP_087497140.1	AEP_00392	AEP_RS01980
AEP_00393	 	 
WP_157673009.1	AEP_00393	AEP_RS01985
AEP_00394	 	 
WP_087493839.1	AEP_00394	AEP_RS01990
AEP_00395	 	 
WP_198301883.1	AEP_00395	AEP_RS20815
AEP_00396	 	 
WP_087497141.1	AEP_00396	AEP_RS01995
AEP_00397	 	 
WP_232459906.1	AEP_00397	AEP_RS02000
AEP_00398	 	 
