protein_id	old_locus_tag	locus_tag
WP_087493556.1	AEP_00071	AEP_RS00355
WP_157672994.1	AEP_00072	AEP_RS20565
WP_087493557.1	AEP_00073	AEP_RS00360
WP_232459886.1	AEP_00074	AEP_RS00365
WP_087493558.1	AEP_00075	AEP_RS00370
WP_087493559.1	AEP_00076	AEP_RS00375
WP_087493560.1	AEP_00077	AEP_RS00380
WP_157672995.1	AEP_00078	AEP_RS00385
WP_087493562.1	AEP_00079	AEP_RS00390
WP_087493563.1	AEP_00080	AEP_RS00395
WP_087493564.1	AEP_00081	AEP_RS00400
WP_087493565.1	AEP_00082	AEP_RS00405
WP_087493567.1	AEP_00084	AEP_RS00415
WP_087493570.1	AEP_00085	AEP_RS00430
WP_087493571.1	AEP_00086	AEP_RS00435
WP_087493572.1	AEP_00087	AEP_RS00440
WP_087493573.1	AEP_00088	AEP_RS00445
WP_087493574.1	AEP_00089	AEP_RS00450
WP_087493575.1	AEP_00090	AEP_RS00455
WP_087493576.1	AEP_00091	AEP_RS00460
WP_087493577.1	AEP_00092	AEP_RS00465
WP_087493578.1	AEP_00093	AEP_RS00470
WP_087493579.1	AEP_00094	AEP_RS00475
WP_232459887.1	AEP_00095	AEP_RS00480
WP_087493580.1	AEP_00096	AEP_RS00485
WP_087493581.1	AEP_00097	AEP_RS00490
WP_087493582.1	AEP_00098	AEP_RS00495
WP_087493583.1	AEP_00099	AEP_RS00500
WP_087493584.1	AEP_00100	AEP_RS00505
WP_232459888.1	AEP_00101	AEP_RS20925
WP_087493585.1	AEP_00102	AEP_RS00515
WP_087493586.1	AEP_00103	AEP_RS00520
WP_087493587.1	AEP_00104	AEP_RS00525
WP_087493588.1	AEP_00105	AEP_RS00530
WP_087493589.1	AEP_00106	AEP_RS00535
WP_232459889.1	AEP_00107	AEP_RS00540
WP_087493590.1	AEP_00108	AEP_RS00545
WP_087493591.1	AEP_00109	AEP_RS00550
WP_087493592.1	AEP_00110	AEP_RS00555
WP_087493593.1	AEP_00111	AEP_RS00560
WP_087493594.1	AEP_00112	AEP_RS00565
WP_087493595.1	AEP_00113	AEP_RS00570
WP_087493596.1	AEP_00114	AEP_RS00575
WP_087493597.1	AEP_00115	AEP_RS00580
WP_087493598.1	AEP_00117	AEP_RS00590
WP_157672996.1	AEP_00118	AEP_RS00595
WP_157672997.1	AEP_00119	AEP_RS00600
WP_087493601.1	AEP_00120	AEP_RS00605
WP_087493602.1	AEP_00121	AEP_RS00610
WP_087493603.1	AEP_00122	AEP_RS00615
WP_087493604.1	AEP_00123	AEP_RS00620
WP_087493605.1	AEP_00124	AEP_RS00625
WP_087497106.1	AEP_00125	AEP_RS00630
WP_087493607.1	AEP_00126	AEP_RS00640
WP_087493608.1	AEP_00127	AEP_RS00645
WP_157672998.1	AEP_00128	AEP_RS00650
WP_087493612.1	AEP_00130	AEP_RS00665
WP_087493613.1	AEP_00131	AEP_RS00670
WP_087493614.1	AEP_00132	AEP_RS00675
WP_087493615.1	AEP_00133	AEP_RS00680
WP_087493616.1	AEP_00134	AEP_RS00685
WP_087493617.1	AEP_00135	AEP_RS00690
WP_087493618.1	AEP_00136	AEP_RS00695
WP_232459981.1	AEP_00137	AEP_RS00700
WP_087493620.1	AEP_00138	AEP_RS00705
WP_087493621.1	AEP_00139	AEP_RS00710
WP_087493622.1	AEP_00140	AEP_RS00715
WP_087493623.1	AEP_00141	AEP_RS00720
WP_087493624.1	AEP_00142	AEP_RS00725
WP_087493625.1	AEP_00143	AEP_RS00730
WP_087493626.1	AEP_00145	AEP_RS00740
WP_087493627.1	AEP_00146	AEP_RS00745
WP_087493628.1	AEP_00147	AEP_RS00750
WP_087493629.1	AEP_00148	AEP_RS00755
WP_232459890.1	AEP_00149	AEP_RS00760
WP_087493630.1	AEP_00150	AEP_RS00765
WP_087493631.1	AEP_00151	AEP_RS00770
WP_087493632.1	AEP_00152	AEP_RS00775
WP_157672999.1	AEP_00153	AEP_RS00780
WP_198301875.1	AEP_00154	AEP_RS00785
WP_087493634.1	AEP_00155	AEP_RS00790
WP_198301876.1	AEP_00156	AEP_RS00795
WP_232459891.1	AEP_00157	AEP_RS00800
WP_232459892.1	AEP_00158	AEP_RS00805
WP_087493637.1	AEP_00159	AEP_RS00810
WP_157673000.1	AEP_00160	AEP_RS00815
WP_232459982.1	AEP_00161	AEP_RS00820
WP_087493640.1	AEP_00162	AEP_RS00825
WP_087493641.1	AEP_00163	AEP_RS00830
WP_087493642.1	AEP_00164	AEP_RS00835
WP_087493643.1	AEP_00165	AEP_RS00840
WP_087493644.1	AEP_00166	AEP_RS00845
WP_087493645.1	AEP_00167	AEP_RS00850
WP_087497110.1	AEP_00168	AEP_RS00855
WP_087493646.1	AEP_00169	AEP_RS00860
WP_087493647.1	AEP_00170	AEP_RS00865
WP_087493648.1	AEP_00171	AEP_RS00870
WP_087493649.1	AEP_00172	AEP_RS00875
WP_087493650.1	AEP_00173	AEP_RS00880
WP_198301934.1	AEP_00174	AEP_RS00885
WP_087493652.1	AEP_00175	AEP_RS00890
WP_087493653.1	AEP_00176	AEP_RS00895
WP_087493654.1	AEP_00177	AEP_RS00900
WP_087493655.1	AEP_00178	AEP_RS00905
WP_087493656.1	AEP_00179	AEP_RS00910
WP_087493657.1	AEP_00180	AEP_RS00915
WP_087497111.1	AEP_00181	AEP_RS00920
WP_232459893.1	AEP_00182	AEP_RS00925
WP_087493659.1	AEP_00183	AEP_RS00930
WP_087493660.1	AEP_00184	AEP_RS00935
WP_087493661.1	AEP_00185	AEP_RS00940
WP_087493662.1	AEP_00186	AEP_RS00945
WP_198301877.1	AEP_00187	AEP_RS00950
WP_087493663.1	AEP_00188	AEP_RS00955
WP_198301878.1	AEP_00189	AEP_RS00960
WP_087493664.1	AEP_03152	AEP_RS15740
WP_087493665.1	AEP_00192	AEP_RS00975
WP_087493666.1	AEP_00193	AEP_RS00980
WP_087493667.1	AEP_00194	AEP_RS00985
WP_232459983.1	AEP_00195	AEP_RS00990
WP_087493669.1	AEP_00196	AEP_RS00995
WP_087493670.1	AEP_00197	AEP_RS01000
WP_087493671.1	AEP_00198	AEP_RS01005
WP_232459894.1	AEP_00199	AEP_RS01010
WP_087493672.1	AEP_00200	AEP_RS01015
WP_087493673.1	AEP_00201	AEP_RS01020
WP_087493674.1	AEP_00202	AEP_RS01025
WP_087493675.1	AEP_00203	AEP_RS01030
WP_087493676.1	AEP_00204	AEP_RS01035
WP_087493677.1	AEP_00205	AEP_RS01040
WP_087493678.1	AEP_00206	AEP_RS01045
WP_087493679.1	AEP_00207	AEP_RS01050
WP_087493680.1	AEP_00208	AEP_RS01055
WP_087493682.1	AEP_00209	AEP_RS01065
WP_087493683.1	AEP_00210	AEP_RS01070
WP_087497115.1	AEP_00211	AEP_RS01075
WP_087493684.1	AEP_00212	AEP_RS01080
WP_087493685.1	AEP_00213	AEP_RS01085
WP_087493686.1	AEP_00214	AEP_RS01090
WP_087493687.1	AEP_00215	AEP_RS01095
WP_087493688.1	AEP_00216	AEP_RS01100
WP_232459895.1	AEP_00217	AEP_RS01105
WP_087497117.1	AEP_00218	AEP_RS01110
WP_087493689.1	AEP_00219	AEP_RS01115
WP_087493690.1	AEP_00220	AEP_RS01120
WP_257789662.1	AEP_00221	AEP_RS01125
WP_087493691.1	AEP_00222	AEP_RS01130
WP_087493692.1	AEP_00223	AEP_RS01135
WP_232459897.1	AEP_00224	AEP_RS01140
WP_087493694.1	AEP_00225	AEP_RS01145
WP_087493695.1	AEP_00226	AEP_RS01150
WP_087493697.1	AEP_00227	AEP_RS01160
WP_087493698.1	AEP_00228	AEP_RS01165
WP_087493699.1	AEP_00229	AEP_RS01170
WP_087493700.1	AEP_00230	AEP_RS01175
WP_087493701.1	AEP_00231	AEP_RS01180
WP_087497120.1	AEP_00232	AEP_RS01190
WP_198301879.1	AEP_00233	AEP_RS01195
WP_087493703.1	AEP_00234	AEP_RS01200
WP_087493704.1	AEP_00235	AEP_RS01205
WP_087493705.1	AEP_00236	AEP_RS01210
WP_157673001.1	AEP_00237	AEP_RS01215
WP_087493707.1	AEP_00238	AEP_RS01220
WP_232459898.1	AEP_00239	AEP_RS20935
WP_087493708.1	AEP_00240	AEP_RS01230
WP_087493709.1	AEP_00241	AEP_RS01235
WP_087493710.1	AEP_00242	AEP_RS01240
WP_087493711.1	AEP_00243	AEP_RS01245
WP_087493712.1	AEP_00244	AEP_RS01250
WP_087493713.1	AEP_00245	AEP_RS01255
WP_087493714.1	AEP_00246	AEP_RS01260
WP_087497122.1	AEP_00247	AEP_RS01265
WP_087493715.1	AEP_00248	AEP_RS01270
WP_087493716.1	AEP_00249	AEP_RS01275
WP_087493717.1	AEP_00250	AEP_RS01280
WP_087497123.1	AEP_00251	AEP_RS01285
WP_087493718.1	AEP_00252	AEP_RS01290
WP_087493719.1	AEP_00253	AEP_RS01295
WP_087493720.1	AEP_00254	AEP_RS01300
WP_087493721.1	AEP_00255	AEP_RS01305
WP_198301880.1	AEP_00256	AEP_RS01310
WP_087497125.1	AEP_00257	AEP_RS01315
WP_232459899.1	AEP_00258	AEP_RS01320
WP_087493722.1	AEP_00259	AEP_RS01325
WP_087493723.1	AEP_00260	AEP_RS01330
WP_087493724.1	AEP_00261	AEP_RS01335
WP_087493725.1	AEP_00262	AEP_RS01340
WP_087493726.1	AEP_00263	AEP_RS01345
WP_087493727.1	AEP_00264	AEP_RS01350
WP_087493728.1	AEP_00265	AEP_RS01355
WP_087493729.1	AEP_00266	AEP_RS01360
WP_087493730.1	AEP_00267	AEP_RS01365
WP_087493731.1	AEP_00268	AEP_RS01370
WP_087493732.1	AEP_00269	AEP_RS01375
WP_087493733.1	AEP_00270	AEP_RS01380
WP_087497127.1	AEP_00271	AEP_RS01385
WP_087493734.1	AEP_00272	AEP_RS01390
WP_087493735.1	AEP_00273	AEP_RS01395
WP_087493736.1	AEP_00274	AEP_RS01400
WP_157673002.1	AEP_00275	AEP_RS01405
WP_087493738.1	AEP_00276	AEP_RS01410
WP_232459900.1	AEP_00277	AEP_RS01415
WP_087493739.1	AEP_00278	AEP_RS01420
WP_170211787.1	AEP_00279	AEP_RS01425
WP_087493741.1	AEP_00280	AEP_RS01430
WP_087493742.1	AEP_00281	AEP_RS01435
WP_087493743.1	AEP_00282	AEP_RS01440
WP_087493744.1	AEP_00283	AEP_RS01445
WP_087497129.1	AEP_00284	AEP_RS01450
WP_087493745.1	AEP_00285	AEP_RS01455
WP_087493746.1	AEP_00286	AEP_RS01460
WP_087493747.1	AEP_00287	AEP_RS01465
WP_087497130.1	AEP_00288	AEP_RS01470
WP_157673003.1	AEP_00289	AEP_RS20570
WP_232459901.1	AEP_00290	AEP_RS01480
WP_087493750.1	AEP_00291	AEP_RS01485
WP_087493751.1	AEP_00292	AEP_RS01490
WP_087493752.1	AEP_00293	AEP_RS01495
WP_087493753.1	AEP_00294	AEP_RS01500
WP_087497131.1	AEP_00295	AEP_RS01505
WP_087497132.1	AEP_00296	AEP_RS01510
WP_087493754.1	AEP_00297	AEP_RS01515
WP_087493755.1	AEP_00298	AEP_RS01520
WP_087493756.1	AEP_00299	AEP_RS01525
WP_087493757.1	AEP_00300	AEP_RS01530
WP_087493758.1	AEP_00301	AEP_RS01535
WP_087493759.1	AEP_00302	AEP_RS01540
WP_157673004.1	AEP_00303	AEP_RS01545
WP_087493761.1	AEP_00304	AEP_RS01550
WP_087493762.1	AEP_00305	AEP_RS01555
WP_087493763.1	AEP_00306	AEP_RS01560
WP_087493764.1	AEP_00307	AEP_RS01565
WP_087493765.1	AEP_00309	AEP_RS01575
WP_087493766.1	AEP_00310	AEP_RS01580
WP_087493767.1	AEP_00311	AEP_RS01585
WP_087493768.1	AEP_00312	AEP_RS01590
WP_087497133.1	AEP_00313	AEP_RS01595
WP_087493769.1	AEP_00314	AEP_RS01600
WP_087493770.1	AEP_00315	AEP_RS01605
WP_087493771.1	AEP_00316	AEP_RS01610
WP_087493772.1	AEP_00317	AEP_RS01615
WP_087493773.1	AEP_00318	AEP_RS01620
WP_087493774.1	AEP_00319	AEP_RS01625
WP_087493775.1	AEP_00320	AEP_RS01630
WP_087493776.1	AEP_00321	AEP_RS01635
WP_087493777.1	AEP_00323	AEP_RS01640
WP_232459902.1	AEP_00324	AEP_RS01645
WP_087493779.1	AEP_00325	AEP_RS01650
WP_087493780.1	AEP_00326	AEP_RS01655
WP_087493781.1	AEP_00327	AEP_RS01660
WP_198301881.1	AEP_00328	AEP_RS01665
WP_087493783.1	AEP_00329	AEP_RS01670
WP_087497134.1	AEP_00330	AEP_RS01675
WP_087493784.1	AEP_00331	AEP_RS01680
WP_087493785.1	AEP_00332	AEP_RS01685
WP_087493786.1	AEP_00333	AEP_RS01690
WP_232459903.1	AEP_00334	AEP_RS01695
WP_087497135.1	AEP_00335	AEP_RS01700
WP_087493788.1	AEP_00336	AEP_RS01705
WP_087493789.1	AEP_00337	AEP_RS01710
WP_087493790.1	AEP_00338	AEP_RS01715
WP_087493791.1	AEP_00339	AEP_RS01720
WP_087493792.1	AEP_00340	AEP_RS01725
WP_087493794.1	AEP_00342	AEP_RS01735
WP_087493795.1	AEP_00344	AEP_RS01745
WP_087493796.1	AEP_00345	AEP_RS01750
WP_087493797.1	AEP_00346	AEP_RS01755
WP_087493798.1	AEP_00347	AEP_RS01760
WP_087493799.1	AEP_00348	AEP_RS01765
WP_087497136.1	AEP_00349	AEP_RS01770
WP_087497137.1	AEP_00350	AEP_RS01775
WP_087493800.1	AEP_00351	AEP_RS01780
WP_087493801.1	AEP_00352	AEP_RS01785
WP_087493802.1	AEP_00353	AEP_RS01790
WP_087493803.1	AEP_00354	AEP_RS01795
WP_087493804.1	AEP_00355	AEP_RS01800
WP_087493805.1	AEP_00356	AEP_RS01805
WP_087493806.1	AEP_00357	AEP_RS01810
WP_087493807.1	AEP_00358	AEP_RS01815
WP_087493808.1	AEP_00359	AEP_RS01820
WP_087493809.1	AEP_00360	AEP_RS01825
WP_087493810.1	AEP_00361	AEP_RS01830
WP_087493811.1	AEP_00362	AEP_RS01835
WP_087493812.1	AEP_00363	AEP_RS01840
WP_087493813.1	AEP_00364	AEP_RS01845
WP_087493814.1	AEP_00365	AEP_RS01850
WP_087493815.1	AEP_00366	AEP_RS01855
WP_087493816.1	AEP_00367	AEP_RS01860
WP_087493817.1	AEP_00368	AEP_RS01865
WP_232459904.1	AEP_00369	AEP_RS01870
WP_087493818.1	AEP_00370	AEP_RS01875
WP_087493819.1	AEP_00371	AEP_RS01880
WP_157673007.1	AEP_00372	AEP_RS01885
WP_087493821.1	AEP_00374	AEP_RS01890
WP_087493822.1	AEP_00375	AEP_RS01895
WP_087493823.1	AEP_00376	AEP_RS01900
WP_087493824.1	AEP_00377	AEP_RS01905
WP_087493825.1	AEP_00378	AEP_RS01910
WP_087493826.1	AEP_00379	AEP_RS01915
WP_087493827.1	AEP_00380	AEP_RS01920
WP_087493828.1	AEP_00381	AEP_RS01925
WP_087493829.1	AEP_00382	AEP_RS01930
WP_087493830.1	AEP_00383	AEP_RS01935
WP_198301882.1	AEP_00384	AEP_RS01940
WP_087493832.1	AEP_00385	AEP_RS01945
WP_232459905.1	AEP_00386	AEP_RS01950
WP_087493833.1	AEP_00387	AEP_RS01955
WP_087493834.1	AEP_00388	AEP_RS01960
WP_087493835.1	AEP_00389	AEP_RS01965
WP_157673008.1	AEP_00390	AEP_RS01970
WP_087493837.1	AEP_00391	AEP_RS01975
WP_087497140.1	AEP_00392	AEP_RS01980
WP_157673009.1	AEP_00393	AEP_RS01985
WP_087493839.1	AEP_00394	AEP_RS01990
WP_198301883.1	AEP_00395	AEP_RS20815
WP_087497141.1	AEP_00396	AEP_RS01995
WP_232459906.1	AEP_00397	AEP_RS02000
WP_087493840.1	AEP_00398	AEP_RS02005
WP_087493841.1	AEP_00399	AEP_RS02010
WP_087493842.1	AEP_00400	AEP_RS02015
WP_087493843.1	AEP_00401	AEP_RS02020
WP_087493844.1	AEP_00402	AEP_RS02025
WP_087493845.1	AEP_00403	AEP_RS02030
WP_087493846.1	AEP_00404	AEP_RS02035
WP_087493847.1	AEP_00405	AEP_RS02040
WP_087493848.1	AEP_00406	AEP_RS02045
WP_157673010.1	AEP_00407	AEP_RS02050
WP_087493850.1	AEP_00408	AEP_RS02055
WP_087493851.1	AEP_00409	AEP_RS02060
WP_087493852.1	AEP_00410	AEP_RS02065
WP_087493853.1	AEP_00411	AEP_RS02070
WP_087493854.1	AEP_00412	AEP_RS02075
WP_087493855.1	AEP_00413	AEP_RS02080
WP_087493856.1	AEP_00414	AEP_RS21200
WP_087493857.1	AEP_00415	AEP_RS02090
WP_232459907.1	AEP_00416	AEP_RS02095
WP_087493858.1	AEP_00417	AEP_RS02100
WP_087493859.1	AEP_00418	AEP_RS02105
WP_198301884.1	AEP_00419	AEP_RS20575
WP_157673012.1	AEP_00420	AEP_RS02120
WP_087493863.1	AEP_00421	AEP_RS02125
WP_087493864.1	AEP_00422	AEP_RS02130
WP_087493865.1	AEP_00423	AEP_RS02135
WP_087493866.1	AEP_00424	AEP_RS02140
WP_087493867.1	AEP_00425	AEP_RS02145
WP_087493868.1	AEP_00426	AEP_RS02150
WP_087493869.1	AEP_00427	AEP_RS02155
WP_087493870.1	AEP_00428	AEP_RS02160
WP_087493872.1	AEP_00430	AEP_RS02170
WP_087493873.1	AEP_00431	AEP_RS02175
WP_087493874.1	AEP_00432	AEP_RS02180
WP_087493875.1	AEP_00433	AEP_RS02185
WP_087493876.1	AEP_00434	AEP_RS02190
WP_087493877.1	AEP_00435	AEP_RS02195
WP_087493878.1	AEP_00436	AEP_RS02200
WP_087493879.1	AEP_00437	AEP_RS02205
WP_198301885.1	AEP_00438	AEP_RS20820
WP_087493880.1	AEP_00439	AEP_RS02215
WP_087493881.1	AEP_00440	AEP_RS02220
WP_087493882.1	AEP_00441	AEP_RS02225
WP_087493883.1	AEP_00442	AEP_RS02230
WP_087493884.1	AEP_00443	AEP_RS02235
WP_087493885.1	AEP_00444	AEP_RS02240
WP_232459908.1	AEP_00445	AEP_RS02245
WP_087493886.1	AEP_00446	AEP_RS02250
WP_087493887.1	AEP_00447	AEP_RS02255
WP_198301886.1	AEP_00448	AEP_RS02260
WP_087493888.1	AEP_00449	AEP_RS02265
WP_087493889.1	AEP_00450	AEP_RS02270
WP_087493890.1	AEP_00451	AEP_RS02275
WP_087493891.1	AEP_00452	AEP_RS02280
WP_087493892.1	AEP_00453	AEP_RS02285
WP_087493893.1	AEP_00454	AEP_RS02290
WP_087493894.1	AEP_00455	AEP_RS02295
WP_087493895.1	AEP_00456	AEP_RS02300
WP_087493897.1	AEP_00457	AEP_RS02310
WP_087493898.1	AEP_00458	AEP_RS02315
WP_087493899.1	AEP_00459	AEP_RS02320
WP_087493900.1	AEP_00460	AEP_RS02325
WP_087493901.1	AEP_00461	AEP_RS02330
WP_087493902.1	AEP_00464	AEP_RS02340
WP_087493903.1	AEP_00465	AEP_RS02345
WP_087493904.1	AEP_00466	AEP_RS02350
WP_087493905.1	AEP_00467	AEP_RS02355
WP_087493906.1	AEP_00468	AEP_RS02360
WP_157673013.1	AEP_00469	AEP_RS02365
WP_087493908.1	AEP_00470	AEP_RS02370
WP_232459909.1	AEP_00471	AEP_RS02375
WP_087493909.1	AEP_00472	AEP_RS02380
WP_087493910.1	AEP_00473	AEP_RS02385
WP_087493911.1	AEP_00474	AEP_RS02390
WP_087493912.1	AEP_00475	AEP_RS02395
WP_198301887.1	AEP_00476	AEP_RS02400
WP_087493914.1	AEP_00477	AEP_RS02405
WP_087493915.1	AEP_00478	AEP_RS02410
WP_087493916.1	AEP_00479	AEP_RS02415
WP_087493917.1	AEP_00480	AEP_RS02420
WP_087493918.1	AEP_00481	AEP_RS02425
WP_087493919.1	AEP_00482	AEP_RS02430
WP_087493920.1	AEP_00483	AEP_RS02435
WP_232459910.1	AEP_00484	AEP_RS02440
WP_087493921.1	AEP_00485	AEP_RS02445
WP_087493922.1	AEP_00486	AEP_RS02450
WP_087493923.1	AEP_00487	AEP_RS02455
WP_087497147.1	AEP_00490	AEP_RS02470
WP_087493924.1	AEP_00491	AEP_RS02475
WP_087493925.1	AEP_00492	AEP_RS02480
WP_087493926.1	AEP_00493	AEP_RS02485
WP_087493927.1	AEP_00494	AEP_RS02490
WP_087493928.1	AEP_00495	AEP_RS02495
WP_087493929.1	AEP_00496	AEP_RS02500
WP_087493930.1	AEP_00497	AEP_RS02505
WP_087493931.1	AEP_00498	AEP_RS02510
WP_087493932.1	AEP_00499	AEP_RS02515
WP_087493933.1	AEP_00500	AEP_RS02520
WP_087493934.1	AEP_00501	AEP_RS02525
WP_087493935.1	AEP_00502	AEP_RS02530
WP_087493936.1	AEP_00503	AEP_RS02535
WP_087493937.1	AEP_00504	AEP_RS02540
WP_198301888.1	AEP_00505	AEP_RS02545
WP_157673014.1	AEP_00506	AEP_RS02550
WP_087493939.1	AEP_00507	AEP_RS02555
WP_087493940.1	AEP_00508	AEP_RS02560
WP_087493941.1	AEP_00509	AEP_RS02565
WP_087493942.1	AEP_00510	AEP_RS02570
WP_087493943.1	AEP_00511	AEP_RS02575
WP_087493944.1	AEP_00512	AEP_RS02580
WP_087493945.1	AEP_00513	AEP_RS02585
WP_157673015.1	AEP_00514	AEP_RS02590
WP_087493947.1	AEP_00515	AEP_RS02595
WP_257789657.1	AEP_00516	AEP_RS02600
WP_087493949.1	AEP_00517	AEP_RS02605
WP_087493950.1	AEP_00518	AEP_RS02610
WP_087493951.1	AEP_00519	AEP_RS02615
WP_087493952.1	AEP_00520	AEP_RS02620
WP_087493953.1	AEP_00521	AEP_RS02625
WP_157673017.1	AEP_00522	AEP_RS02630
WP_087493955.1	AEP_00523	AEP_RS02635
WP_087493956.1	AEP_00524	AEP_RS02640
WP_087493957.1	AEP_00525	AEP_RS02645
WP_087493958.1	AEP_00526	AEP_RS02650
WP_087493959.1	AEP_00527	AEP_RS02655
WP_087493960.1	AEP_00528	AEP_RS02660
WP_087493961.1	AEP_00529	AEP_RS02665
WP_087493962.1	AEP_00530	AEP_RS02670
WP_157673018.1	AEP_00531	AEP_RS02675
WP_087493964.1	AEP_00532	AEP_RS02680
WP_087493965.1	AEP_00533	AEP_RS02685
WP_087493966.1	AEP_00534	AEP_RS02690
WP_087493967.1	AEP_00535	AEP_RS02695
WP_087493969.1	AEP_00536	AEP_RS02705
WP_087493970.1	AEP_00537	AEP_RS02710
WP_157673020.1	AEP_00538	AEP_RS02715
WP_087493972.1	AEP_00539	AEP_RS02720
WP_157673021.1	AEP_00540	AEP_RS02725
WP_087493974.1	AEP_00541	AEP_RS02730
WP_087493975.1	AEP_00542	AEP_RS02735
WP_087493976.1	AEP_00543	AEP_RS02740
WP_087493977.1	AEP_00544	AEP_RS02745
WP_087493978.1	AEP_00545	AEP_RS02750
WP_087493979.1	AEP_00546	AEP_RS02755
WP_087493980.1	AEP_00547	AEP_RS02760
WP_087493981.1	AEP_00548	AEP_RS02765
WP_087493982.1	AEP_00549	AEP_RS02770
WP_087493983.1	AEP_00550	AEP_RS02775
WP_087493984.1	AEP_00551	AEP_RS02780
WP_157673022.1	AEP_00552	AEP_RS02785
WP_087493986.1	AEP_00555	AEP_RS02790
WP_087493987.1	AEP_00556	AEP_RS02795
WP_087493988.1	AEP_00557	AEP_RS02800
WP_087497149.1	AEP_00558	AEP_RS02805
WP_087493989.1	AEP_00559	AEP_RS02810
WP_087493990.1	AEP_00560	AEP_RS02815
WP_087493991.1	AEP_00561	AEP_RS02820
WP_087493992.1	AEP_00562	AEP_RS02825
WP_157673023.1	AEP_00563	AEP_RS02830
WP_087493994.1	AEP_00564	AEP_RS02835
WP_087493995.1	AEP_00565	AEP_RS02840
WP_087493996.1	AEP_00566	AEP_RS02845
WP_087493997.1	AEP_00567	AEP_RS02850
WP_087493998.1	AEP_00568	AEP_RS02855
WP_198301889.1	AEP_00569	AEP_RS02860
WP_087497150.1	AEP_00570	AEP_RS02865
WP_087494000.1	AEP_00571	AEP_RS02870
WP_087494001.1	AEP_00572	AEP_RS02875
WP_157673024.1	AEP_00573	AEP_RS02880
WP_087494003.1	AEP_00574	AEP_RS02885
WP_087494004.1	AEP_00575	AEP_RS02890
WP_087494005.1	AEP_00576	AEP_RS02895
WP_087494006.1	AEP_00577	AEP_RS02900
WP_087494007.1	AEP_00578	AEP_RS02905
WP_087494008.1	AEP_00579	AEP_RS02910
WP_087494009.1	AEP_00580	AEP_RS02915
