GID	SYMBOL	GENENAME
AEP_00036	WP_087493526.1	enoyl-CoA hydratase/isomerase family protein
AEP_00037	WP_087493527.1	malonyl-CoA synthase
AEP_00038	WP_087493528.1	FIST C-terminal domain-containing protein
AEP_00039	WP_198301873.1	response regulator
AEP_00040	WP_087493530.1	response regulator
AEP_00041	WP_087493531.1	universal stress protein
AEP_00042	WP_087493532.1	cation-translocating P-type ATPase
AEP_00043	WP_087493533.1	cbb3-type cytochrome oxidase assembly protein CcoS
AEP_00044	WP_087493534.1	cytochrome-c oxidase, cbb3-type subunit I
AEP_00045	WP_087493535.1	cytochrome-c oxidase, cbb3-type subunit II
AEP_00046	WP_087497098.1	CcoQ/FixQ family Cbb3-type cytochrome c oxidase assembly chaperone
AEP_00047	WP_087493536.1	cytochrome-c oxidase, cbb3-type subunit III
AEP_00048	WP_232460040.1	cytochrome c oxidase accessory protein CcoG
AEP_00049	WP_087493538.1	FixH family protein
AEP_00050	WP_087493539.1	hypothetical protein
AEP_00051	WP_087497099.1	fumarate/nitrate reduction transcriptional regulator Fnr
AEP_00052	WP_087493540.1	oxygen-independent coproporphyrinogen III oxidase
AEP_00053	WP_087493541.1	sulfite exporter TauE/SafE family protein
AEP_00054	WP_232459885.1	diguanylate cyclase
AEP_00055	WP_087493543.1	transporter substrate-binding domain-containing protein
AEP_00057	WP_087493545.1	NAD(P)/FAD-dependent oxidoreductase
AEP_00058	WP_087493546.1	alpha/beta hydrolase
AEP_00059	WP_087493547.1	transporter substrate-binding domain-containing protein
none	WP_087493548.1	hypothetical protein
AEP_00060	WP_157672990.1	hypothetical protein
AEP_00061	WP_087493550.1	hypothetical protein
AEP_00062	WP_157672991.1	hypothetical protein
AEP_00063	WP_087497100.1	AAA family ATPase
AEP_00064	WP_157672992.1	5-methylcytosine-specific restriction endonuclease system specificity protein McrC
AEP_00065	WP_157672993.1	AAA family ATPase
AEP_00066	WP_087493553.1	class I SAM-dependent methyltransferase
none	none	IS3 family transposase
AEP_00069	WP_087493554.1	DEAD/DEAH box helicase family protein
AEP_00070	WP_087493555.1	hypothetical protein
AEP_00071	WP_087493556.1	ATP-binding protein
AEP_00072	WP_157672994.1	hypothetical protein
AEP_00073	WP_087493557.1	hypothetical protein
AEP_00074	WP_232459886.1	hypothetical protein
AEP_00075	WP_087493558.1	Y-family DNA polymerase
AEP_00076	WP_087493559.1	translesion error-prone DNA polymerase V autoproteolytic subunit
AEP_00077	WP_087493560.1	endonuclease/exonuclease/phosphatase family protein
AEP_00078	WP_157672995.1	S1/P1 nuclease
AEP_00079	WP_087493562.1	hypothetical protein
AEP_00080	WP_087493563.1	hypothetical protein
AEP_00081	WP_087493564.1	DUF2075 domain-containing protein
AEP_00082	WP_087493565.1	nucleotide pyrophosphohydrolase
AEP_00084	WP_087493567.1	AAA family ATPase
none	WP_087493568.1	hypothetical protein
AEP_00085	WP_087493570.1	hypothetical protein
AEP_00086	WP_087493571.1	site-specific integrase
AEP_00087	WP_087493572.1	tRNA dihydrouridine(20/20a) synthase DusA
AEP_00088	WP_087493573.1	DUF1269 domain-containing family protein
AEP_00089	WP_087493574.1	BON domain-containing protein
AEP_00090	WP_087493575.1	outer membrane beta-barrel protein
AEP_00091	WP_087493576.1	thioesterase family protein
AEP_00092	WP_087493577.1	hypothetical protein
AEP_00093	WP_087493578.1	sterol desaturase family protein
AEP_00094	WP_087493579.1	LysR family transcriptional regulator
AEP_00095	WP_232459887.1	GntR family transcriptional regulator
AEP_00096	WP_087493580.1	methylmalonyl-CoA mutase
AEP_00097	WP_087493581.1	methylmalonyl Co-A mutase-associated GTPase MeaB
AEP_00098	WP_087493582.1	acyl-CoA carboxylase subunit beta
AEP_00099	WP_087493583.1	acetyl/propionyl/methylcrotonyl-CoA carboxylase subunit alpha
AEP_00100	WP_087493584.1	VOC family protein
AEP_00101	WP_232459888.1	methyl-accepting chemotaxis protein
AEP_00102	WP_087493585.1	electron transport complex subunit RsxB
AEP_00103	WP_087493586.1	polyhydroxyalkanoate depolymerase
AEP_00104	WP_087493587.1	hypothetical protein
AEP_00105	WP_087493588.1	aspartate/tyrosine/aromatic aminotransferase
AEP_00106	WP_087493589.1	nitronate monooxygenase
AEP_00107	WP_232459889.1	excinuclease ABC subunit UvrB
AEP_00108	WP_087493590.1	Fe-S cluster assembly transcriptional regulator IscR
AEP_00109	WP_087493591.1	IscS subfamily cysteine desulfurase
AEP_00110	WP_087493592.1	Fe-S cluster assembly scaffold IscU
AEP_00111	WP_087493593.1	iron-sulfur cluster assembly protein IscA
AEP_00112	WP_087493594.1	Fe-S protein assembly co-chaperone HscB
AEP_00113	WP_087493595.1	Fe-S protein assembly chaperone HscA
AEP_00114	WP_087493596.1	ISC system 2Fe-2S type ferredoxin
AEP_00115	WP_087493597.1	DNA polymerase III subunit epsilon
AEP_00117	WP_087493598.1	PilZ domain-containing protein
AEP_00118	WP_157672996.1	alpha/beta hydrolase
AEP_00119	WP_157672997.1	hypothetical protein
AEP_00120	WP_087493601.1	NAD(P)/FAD-dependent oxidoreductase
AEP_00121	WP_087493602.1	DUF4394 domain-containing protein
AEP_00122	WP_087493603.1	quinone-dependent dihydroorotate dehydrogenase
AEP_00123	WP_087493604.1	ribose-5-phosphate isomerase RpiA
AEP_00124	WP_087493605.1	riboflavin synthase
AEP_00125	WP_087497106.1	bifunctional diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino)uracil reductase RibD
none	WP_087493606.1	prepilin-type N-terminal cleavage/methylation domain-containing protein
AEP_00126	WP_087493607.1	PilC/PilY family type IV pilus protein
AEP_00127	WP_087493608.1	PilX N-terminal domain-containing pilus assembly protein
AEP_00128	WP_157672998.1	prepilin-type N-terminal cleavage/methylation domain-containing protein
none	WP_087493610.1	type IV pilus modification protein PilV
AEP_00130	WP_087493612.1	transcriptional regulator NrdR
AEP_00131	WP_087493613.1	serine hydroxymethyltransferase
AEP_00132	WP_087493614.1	lytic transglycosylase domain-containing protein
AEP_00133	WP_087493615.1	DUF349 domain-containing protein
AEP_00134	WP_087493616.1	HD family phosphohydrolase
AEP_00135	WP_087493617.1	UDP-2,3-diacylglucosamine diphosphatase
AEP_00136	WP_087493618.1	peptidylprolyl isomerase
AEP_00137	WP_232459981.1	peptidyl-prolyl cis-trans isomerase
AEP_00138	WP_087493620.1	L,D-transpeptidase family protein
AEP_00139	WP_087493621.1	tetratricopeptide repeat protein
AEP_00140	WP_087493622.1	cysteine--tRNA ligase
AEP_00141	WP_087493623.1	DNA-3-methyladenine glycosylase
AEP_00142	WP_087493624.1	acetyl-CoA carboxylase carboxyltransferase subunit alpha
AEP_00143	WP_087493625.1	tRNA lysidine(34) synthetase TilS
AEP_00145	WP_087493626.1	glutaredoxin family protein
AEP_00146	WP_087493627.1	M3 family metallopeptidase
AEP_00147	WP_087493628.1	bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase FolD
AEP_00148	WP_087493629.1	response regulator
AEP_00149	WP_232459890.1	PAS domain-containing sensor histidine kinase
AEP_00150	WP_087493630.1	pyruvate dehydrogenase (acetyl-transferring), homodimeric type
AEP_00151	WP_087493631.1	dihydrolipoyllysine-residue acetyltransferase
AEP_00152	WP_087493632.1	dihydrolipoyl dehydrogenase
AEP_00153	WP_157672999.1	hypothetical protein
AEP_00154	WP_198301875.1	MHS family MFS transporter
AEP_00155	WP_087493634.1	hypothetical protein
AEP_00156	WP_198301876.1	M13 family metallopeptidase
AEP_00157	WP_232459891.1	CPBP family glutamic-type intramembrane protease
AEP_00158	WP_232459892.1	serine hydrolase
AEP_00159	WP_087493637.1	DUF1330 domain-containing protein
AEP_00160	WP_157673000.1	sensor domain-containing diguanylate cyclase
AEP_00161	WP_232459982.1	ATP-binding cassette domain-containing protein
AEP_00162	WP_087493640.1	FtsX-like permease family protein
AEP_00163	WP_087493641.1	HlyD family efflux transporter periplasmic adaptor subunit
AEP_00164	WP_087493642.1	NAD(P)H-dependent oxidoreductase
AEP_00165	WP_087493643.1	aspartate kinase
AEP_00166	WP_087493644.1	response regulator transcription factor
AEP_00167	WP_087493645.1	ATP-binding protein
AEP_00168	WP_087497110.1	SURF1 family protein
AEP_00169	WP_087493646.1	cytochrome o ubiquinol oxidase subunit IV
AEP_00170	WP_087493647.1	cytochrome o ubiquinol oxidase subunit III
AEP_00171	WP_087493648.1	cytochrome o ubiquinol oxidase subunit I
AEP_00172	WP_087493649.1	ubiquinol oxidase subunit II
AEP_00173	WP_087493650.1	MFS transporter
AEP_00174	WP_198301934.1	PadR family transcriptional regulator
AEP_00175	WP_087493652.1	siderophore-interacting protein
AEP_00176	WP_087493653.1	hypothetical protein
AEP_00177	WP_087493654.1	aldehyde dehydrogenase
AEP_00178	WP_087493655.1	FAD-binding oxidoreductase
AEP_00179	WP_087493656.1	YceI family protein
AEP_00180	WP_087493657.1	zinc-binding alcohol dehydrogenase family protein
AEP_00181	WP_087497111.1	sugar kinase
AEP_00182	WP_232459893.1	mannitol dehydrogenase family protein
AEP_00183	WP_087493659.1	D-galactonate dehydratase family protein
AEP_00184	WP_087493660.1	altronate dehydratase family protein
AEP_00185	WP_087493661.1	TRAP transporter large permease
AEP_00186	WP_087493662.1	TRAP transporter small permease
AEP_00187	WP_198301877.1	sialic acid TRAP transporter substrate-binding protein SiaP
AEP_00188	WP_087493663.1	L-idonate 5-dehydrogenase
AEP_00189	WP_198301878.1	FadR family transcriptional regulator
AEP_00190	WP_087493664.1	group II intron reverse transcriptase/maturase
AEP_00191	WP_087493664.1	group II intron reverse transcriptase/maturase
AEP_00192	WP_087493665.1	PDR/VanB family oxidoreductase
AEP_00193	WP_087493666.1	aromatic ring-hydroxylating dioxygenase subunit alpha
AEP_00194	WP_087493667.1	MarR family transcriptional regulator
AEP_00195	WP_232459983.1	SNF2-related protein
AEP_00196	WP_087493669.1	VOC family protein
AEP_00197	WP_087493670.1	aldehyde dehydrogenase family protein
AEP_00198	WP_087493671.1	DNA oxidative demethylase AlkB
AEP_00199	WP_232459894.1	C40 family peptidase
AEP_00200	WP_087493672.1	TetR/AcrR family transcriptional regulator
AEP_00201	WP_087493673.1	isochorismatase family protein
AEP_00202	WP_087493674.1	propionate--CoA ligase
AEP_00203	WP_087493675.1	2-oxoglutarate dehydrogenase E1 component
AEP_00204	WP_087493676.1	2-oxoglutarate dehydrogenase complex dihydrolipoyllysine-residue succinyltransferase
AEP_00205	WP_087493677.1	dihydrolipoyl dehydrogenase
AEP_00206	WP_087493678.1	cell division protein ZapE
AEP_00207	WP_087493679.1	hypothetical protein
AEP_00208	WP_087493680.1	protein phosphatase 2C domain-containing protein
none	WP_087493681.1	YdcH family protein
AEP_00209	WP_087493682.1	ATP-dependent DNA helicase
AEP_00210	WP_087493683.1	outer membrane protein assembly factor BamD
AEP_00211	WP_087497115.1	RluA family pseudouridine synthase
AEP_00212	WP_087493684.1	SMC-Scp complex subunit ScpB
AEP_00213	WP_087493685.1	rRNA pseudouridine synthase
AEP_00214	WP_087493686.1	nucleoside-diphosphate kinase
AEP_00215	WP_087493687.1	23S rRNA (adenine(2503)-C(2))-methyltransferase RlmN
AEP_00216	WP_087493688.1	type IV pilus biogenesis/stability protein PilW
AEP_00217	WP_232459895.1	helix-turn-helix domain-containing protein
AEP_00218	WP_087497117.1	flavodoxin-dependent (E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase
AEP_00219	WP_087493689.1	histidine--tRNA ligase
AEP_00220	WP_087493690.1	tetratricopeptide repeat protein
AEP_00221	WP_257789662.1	outer membrane protein assembly factor BamB
AEP_00222	WP_087493691.1	ribosome biogenesis GTPase Der
AEP_00223	WP_087493692.1	RNA chaperone Hfq
AEP_00224	WP_232459897.1	GTPase HflX
AEP_00225	WP_087493694.1	FtsH protease activity modulator HflK
AEP_00226	WP_087493695.1	protease modulator HflC
none	WP_087493696.1	DUF2065 domain-containing protein
AEP_00227	WP_087493697.1	ATP phosphoribosyltransferase regulatory subunit
AEP_00228	WP_087493698.1	adenylosuccinate synthase
AEP_00229	WP_087493699.1	phosphoribosyltransferase
AEP_00230	WP_087493700.1	PLP-dependent transferase
AEP_00231	WP_087493701.1	DUF2189 domain-containing protein
none	WP_087493702.1	hypothetical protein
AEP_00232	WP_087497120.1	arylesterase
AEP_00233	WP_198301879.1	ABC transporter ATP-binding protein
AEP_00234	WP_087493703.1	YdeI/OmpD-associated family protein
AEP_00235	WP_087493704.1	CHASE domain-containing protein
AEP_00236	WP_087493705.1	23S rRNA (guanosine(2251)-2'-O)-methyltransferase RlmB
AEP_00237	WP_157673001.1	hypothetical protein
AEP_00238	WP_087493707.1	hypothetical protein
AEP_00239	WP_232459898.1	BON domain-containing protein
AEP_00240	WP_087493708.1	chromate transporter
AEP_00241	WP_087493709.1	chromate transporter
AEP_00242	WP_087493710.1	metal-dependent hydrolase
AEP_00243	WP_087493711.1	alpha/beta fold hydrolase
AEP_00244	WP_087493712.1	3-hydroxyacyl-CoA dehydrogenase NAD-binding domain-containing protein
AEP_00245	WP_087493713.1	acetyl-CoA C-acetyltransferase
AEP_00246	WP_087493714.1	acyl-CoA dehydrogenase family protein
AEP_00247	WP_087497122.1	tripartite tricarboxylate transporter substrate-binding protein
AEP_00248	WP_087493715.1	sensor histidine kinase
AEP_00249	WP_087493716.1	response regulator
AEP_00250	WP_087493717.1	tripartite tricarboxylate transporter substrate binding protein
AEP_00251	WP_087497123.1	LysR family transcriptional regulator
AEP_00252	WP_087493718.1	CoA transferase
AEP_00253	WP_087493719.1	hydroxymethylglutaryl-CoA lyase
AEP_00254	WP_087493720.1	VOC family protein
AEP_00255	WP_087493721.1	alpha/beta hydrolase
AEP_00256	WP_198301880.1	tripartite tricarboxylate transporter substrate binding protein
AEP_00257	WP_087497125.1	D-2-hydroxyacid dehydrogenase
AEP_00258	WP_232459899.1	glycerate kinase
AEP_00259	WP_087493722.1	tripartite tricarboxylate transporter TctB family protein
AEP_00260	WP_087493723.1	tripartite tricarboxylate transporter permease
AEP_00261	WP_087493724.1	sulfite exporter TauE/SafE family protein
AEP_00262	WP_087493725.1	SRPBCC family protein
AEP_00263	WP_087493726.1	tol-pal system-associated acyl-CoA thioesterase
AEP_00264	WP_087493727.1	DUF4405 domain-containing protein
AEP_00265	WP_087493728.1	acyltransferase
AEP_00266	WP_087493729.1	diguanylate cyclase
AEP_00267	WP_087493730.1	ATP-binding cassette domain-containing protein
AEP_00268	WP_087493731.1	M14 family metallopeptidase
AEP_00269	WP_087493732.1	ABC transporter permease subunit
AEP_00270	WP_087493733.1	ABC transporter permease
AEP_00271	WP_087497127.1	ABC transporter substrate-binding protein
AEP_00272	WP_087493734.1	YgiQ family radical SAM protein
AEP_00273	WP_087493735.1	inner membrane protein YiaA
AEP_00274	WP_087493736.1	hypothetical protein
AEP_00275	WP_157673002.1	TraB/GumN family protein
AEP_00276	WP_087493738.1	1,4-alpha-glucan branching protein GlgB
AEP_00277	WP_232459900.1	glycogen debranching protein GlgX
AEP_00278	WP_087493739.1	alpha-D-glucose phosphate-specific phosphoglucomutase
AEP_00279	WP_170211787.1	glucose-1-phosphate adenylyltransferase
AEP_00280	WP_087493741.1	glycogen synthase GlgA
AEP_00281	WP_087493742.1	glycogen/starch/alpha-glucan phosphorylase
AEP_00282	WP_087493743.1	cold shock and DUF1294 domain-containing protein
AEP_00283	WP_087493744.1	YebC/PmpR family DNA-binding transcriptional regulator
AEP_00284	WP_087497129.1	DUF4118 domain-containing protein
AEP_00285	WP_087493745.1	response regulator
AEP_00286	WP_087493746.1	potassium transporter Kup
AEP_00287	WP_087493747.1	acyltransferase family protein
AEP_00288	WP_087497130.1	CoA transferase
AEP_00289	WP_157673003.1	flavodoxin domain-containing protein
AEP_00290	WP_232459901.1	3'-5' exonuclease
AEP_00291	WP_087493750.1	MOSC domain-containing protein
AEP_00292	WP_087493751.1	chemotaxis protein
AEP_00293	WP_087493752.1	IclR family transcriptional regulator
AEP_00294	WP_087493753.1	SDR family oxidoreductase
AEP_00295	WP_087497131.1	sugar ABC transporter ATP-binding protein
AEP_00296	WP_087497132.1	ABC transporter permease
AEP_00297	WP_087493754.1	ABC transporter substrate-binding protein
AEP_00298	WP_087493755.1	fumarylacetoacetate hydrolase family protein
AEP_00299	WP_087493756.1	L-fuconate dehydratase
AEP_00300	WP_087493757.1	amidohydrolase family protein
AEP_00301	WP_087493758.1	SDR family oxidoreductase
AEP_00302	WP_087493759.1	L-rhamnose mutarotase
AEP_00303	WP_157673004.1	S53 family peptidase
AEP_00304	WP_087493761.1	hypothetical protein
AEP_00305	WP_087493762.1	hypothetical protein
AEP_00306	WP_087493763.1	hypothetical protein
AEP_00307	WP_087493764.1	DnaJ domain-containing protein
AEP_00309	WP_087493765.1	NAD(P)/FAD-dependent oxidoreductase
AEP_00310	WP_087493766.1	ferredoxin family protein
AEP_00311	WP_087493767.1	GTP-binding protein
AEP_00312	WP_087493768.1	sulfate adenylyltransferase subunit CysD
AEP_00313	WP_087497133.1	phosphoadenylyl-sulfate reductase
AEP_00314	WP_087493769.1	DUF934 domain-containing protein
AEP_00315	WP_087493770.1	nitrite/sulfite reductase
AEP_00316	WP_087493771.1	sulfite exporter TauE/SafE family protein
AEP_00317	WP_087493772.1	isopenicillin N synthase family oxygenase
AEP_00318	WP_087493773.1	nucleoside hydrolase
AEP_00319	WP_087493774.1	ribokinase
AEP_00320	WP_087493775.1	carbohydrate kinase family protein
AEP_00321	WP_087493776.1	pseudouridine-5'-phosphate glycosidase
AEP_00323	WP_087493777.1	BMP family ABC transporter substrate-binding protein
AEP_00324	WP_232459902.1	ABC transporter ATP-binding protein
AEP_00325	WP_087493779.1	ABC transporter permease
AEP_00326	WP_087493780.1	ABC transporter permease
AEP_00327	WP_087493781.1	hypothetical protein
AEP_00328	WP_198301881.1	FAD-dependent oxidoreductase
AEP_00329	WP_087493783.1	oxidative damage protection protein
AEP_00330	WP_087497134.1	disulfide bond formation protein B
AEP_00331	WP_087493784.1	amino-acid N-acetyltransferase
AEP_00332	WP_087493785.1	ATP-dependent RNA helicase HrpA
AEP_00333	WP_087493786.1	hypothetical protein
AEP_00334	WP_232459903.1	PQQ-dependent sugar dehydrogenase
AEP_00335	WP_087497135.1	pyridoxal phosphate-dependent aminotransferase
AEP_00336	WP_087493788.1	CysB family HTH-type transcriptional regulator
AEP_00337	WP_087493789.1	CbiX/SirB N-terminal domain-containing protein
AEP_00338	WP_087493790.1	LPS export ABC transporter permease LptG
AEP_00339	WP_087493791.1	LPS export ABC transporter permease LptF
AEP_00340	WP_087493792.1	leucyl aminopeptidase
none	WP_087493793.1	DNA polymerase III subunit chi
AEP_00342	WP_087493794.1	hypothetical protein
AEP_00344	WP_087493795.1	paraslipin
AEP_00345	WP_087493796.1	NfeD family protein
AEP_00346	WP_087493797.1	arginine/lysine/ornithine decarboxylase
AEP_00347	WP_087493798.1	enoyl-ACP reductase FabI
AEP_00348	WP_087493799.1	extracellular solute-binding protein
AEP_00349	WP_087497136.1	ABC transporter permease subunit
AEP_00350	WP_087497137.1	ABC transporter permease
AEP_00351	WP_087493800.1	dipeptide ABC transporter ATP-binding protein
AEP_00352	WP_087493801.1	ribosome maturation factor RimP
AEP_00353	WP_087493802.1	transcription termination factor NusA
AEP_00354	WP_087493803.1	translation initiation factor IF-2
AEP_00355	WP_087493804.1	30S ribosome-binding factor RbfA
AEP_00356	WP_087493805.1	tRNA pseudouridine(55) synthase TruB
AEP_00357	WP_087493806.1	translational GTPase TypA
AEP_00358	WP_087493807.1	DMT family transporter
AEP_00359	WP_087493808.1	enoyl-CoA hydratase/isomerase family protein
AEP_00360	WP_087493809.1	anti-sigma factor
AEP_00361	WP_087493810.1	sigma-70 family RNA polymerase sigma factor
AEP_00362	WP_087493811.1	hypothetical protein
AEP_00363	WP_087493812.1	SsrA-binding protein SmpB
AEP_00364	WP_087493813.1	type II toxin-antitoxin system RatA family toxin
AEP_00365	WP_087493814.1	RnfH family protein
AEP_00366	WP_087493815.1	DUF4124 domain-containing protein
AEP_00367	WP_087493816.1	IMP dehydrogenase
AEP_00368	WP_087493817.1	glutamine-hydrolyzing GMP synthase
AEP_00369	WP_232459904.1	EAL domain-containing protein
AEP_00370	WP_087493818.1	tRNA adenosine(34) deaminase TadA
AEP_00371	WP_087493819.1	LD-carboxypeptidase
AEP_00372	WP_157673007.1	hypothetical protein
AEP_00374	WP_087493821.1	adenylate/guanylate cyclase domain-containing protein
AEP_00375	WP_087493822.1	ankyrin repeat domain-containing protein
AEP_00376	WP_087493823.1	TatD family hydrolase
AEP_00377	WP_087493824.1	pilus assembly protein PilZ
AEP_00378	WP_087493825.1	DNA polymerase III subunit delta'
AEP_00379	WP_087493826.1	dTMP kinase
AEP_00380	WP_087493827.1	endolytic transglycosylase MltG
AEP_00381	WP_087493828.1	folate-binding protein YgfZ
AEP_00382	WP_087493829.1	protein phosphatase CheZ
AEP_00383	WP_087493830.1	YbgC/FadM family acyl-CoA thioesterase
AEP_00384	WP_198301882.1	alpha/beta hydrolase
AEP_00385	WP_087493832.1	iron-containing alcohol dehydrogenase
AEP_00386	WP_232459905.1	alpha/beta hydrolase
AEP_00387	WP_087493833.1	patatin-like phospholipase family protein
AEP_00388	WP_087493834.1	HDOD domain-containing protein
AEP_00389	WP_087493835.1	RNA-binding transcriptional accessory protein
AEP_00390	WP_157673008.1	transporter substrate-binding domain-containing protein
AEP_00391	WP_087493837.1	methyltransferase
AEP_00392	WP_087497140.1	VOC family protein
AEP_00393	WP_157673009.1	DUF4304 domain-containing protein
AEP_00394	WP_087493839.1	hypothetical protein
AEP_00395	WP_198301883.1	hypothetical protein
AEP_00396	WP_087497141.1	histone deacetylase
AEP_00397	WP_232459906.1	EAL domain-containing protein
AEP_00398	WP_087493840.1	methylamine utilization protein
AEP_00399	WP_087493841.1	SDR family oxidoreductase
AEP_00400	WP_087493842.1	GNAT family N-acetyltransferase
AEP_00401	WP_087493843.1	glutathione S-transferase family protein
AEP_00402	WP_087493844.1	isovaleryl-CoA dehydrogenase
AEP_00403	WP_087493845.1	PaaI family thioesterase
AEP_00404	WP_087493846.1	SDR family oxidoreductase
AEP_00405	WP_087493847.1	hypothetical protein
AEP_00406	WP_087493848.1	acyl-CoA dehydrogenase
AEP_00407	WP_157673010.1	phage minor head protein
AEP_00408	WP_087493850.1	DUF4406 domain-containing protein
AEP_00409	WP_087493851.1	hypothetical protein
AEP_00410	WP_087493852.1	DUF935 family protein
AEP_00411	WP_087493853.1	phage terminase large subunit
AEP_00412	WP_087493854.1	DUF1804 family protein
AEP_00413	WP_087493855.1	hypothetical protein
AEP_00414	WP_087493856.1	TraR/DksA C4-type zinc finger protein
AEP_00415	WP_087493857.1	hypothetical protein
AEP_00416	WP_232459907.1	lytic transglycosylase domain-containing protein
AEP_00417	WP_087493858.1	putative holin
AEP_00418	WP_087493859.1	thermonuclease family protein
AEP_00419	WP_198301884.1	hypothetical protein
AEP_00420	WP_157673012.1	transcriptional regulator
AEP_00421	WP_087493863.1	hypothetical protein
AEP_00422	WP_087493864.1	hypothetical protein
AEP_00423	WP_087493865.1	hypothetical protein
AEP_00424	WP_087493866.1	Mu transposase C-terminal domain-containing protein
AEP_00425	WP_087493867.1	AAA family ATPase
AEP_00426	WP_087493868.1	hypothetical protein
AEP_00427	WP_087493869.1	hypothetical protein
AEP_00428	WP_087493870.1	DUF3164 family protein
AEP_00430	WP_087493872.1	hypothetical protein
AEP_00431	WP_087493873.1	DUF2786 domain-containing protein
AEP_00432	WP_087493874.1	regulatory protein GemA
AEP_00433	WP_087493875.1	hypothetical protein
AEP_00434	WP_087493876.1	hypothetical protein
AEP_00435	WP_087493877.1	hypothetical protein
AEP_00436	WP_087493878.1	DUF2190 family protein
AEP_00437	WP_087493879.1	hypothetical protein
AEP_00438	WP_198301885.1	hypothetical protein
AEP_00439	WP_087493880.1	DUF1320 family protein
AEP_00440	WP_087493881.1	phage virion morphogenesis protein
AEP_00441	WP_087493882.1	DUF1834 family protein
AEP_00442	WP_087493883.1	hypothetical protein
AEP_00443	WP_087493884.1	phage tail protein
AEP_00444	WP_087493885.1	hypothetical protein
AEP_00445	WP_232459908.1	hypothetical protein
AEP_00446	WP_087493886.1	phage tail tape measure protein
AEP_00447	WP_087493887.1	DNA circularization N-terminal domain-containing protein
AEP_00448	WP_198301886.1	hypothetical protein
AEP_00449	WP_087493888.1	phage baseplate assembly protein
AEP_00450	WP_087493889.1	phage GP46 family protein
AEP_00451	WP_087493890.1	baseplate J/gp47 family protein
AEP_00452	WP_087493891.1	DUF2313 domain-containing protein
AEP_00453	WP_087493892.1	hypothetical protein
AEP_00454	WP_087493893.1	hypothetical protein
AEP_00455	WP_087493894.1	hypothetical protein
AEP_00456	WP_087493895.1	Gp49 family protein
none	WP_087493896.1	Com family DNA-binding transcriptional regulator
AEP_00457	WP_087493897.1	DNA adenine methylase
AEP_00458	WP_087493898.1	acetyl-CoA C-acyltransferase
AEP_00459	WP_087493899.1	M20 family peptidase
AEP_00460	WP_087493900.1	3-hydroxyacyl-CoA dehydrogenase NAD-binding domain-containing protein
AEP_00461	WP_087493901.1	3-(methylthio)propionyl-CoA ligase
AEP_00462	none	YdiU family protein
AEP_00464	WP_087493902.1	peptide-methionine (R)-S-oxide reductase MsrB
AEP_00465	WP_087493903.1	septation protein A
AEP_00466	WP_087493904.1	BolA family transcriptional regulator
AEP_00467	WP_087493905.1	peptidylprolyl isomerase
AEP_00468	WP_087493906.1	DUF1624 domain-containing protein
AEP_00469	WP_157673013.1	MFS transporter
AEP_00470	WP_087493908.1	U32 family peptidase
AEP_00471	WP_232459909.1	hypothetical protein
AEP_00472	WP_087493909.1	NAD(P)H-dependent oxidoreductase
